acidosis	EFO:1000014	acidosis	Disease	HP:0001941	Acidosis	Phenotype
acutekidneyinjury	HP:0001919	Acute kidney injury	Phenotype	MONDO:0002492	acute kidney injury	Disease
acutemonocyticleukemia	EFO:0000221	acute monocytic leukemia	Disease	HP:0004845	Acute monocytic leukemia	Phenotype
acutepancreatitis	EFO:1000652	acute pancreatitis	Disease	HP:0001735	Acute pancreatitis	Phenotype
albinism	HP:0001022	Albinism	Phenotype	MONDO:0043209	albinism	Disease
alopecia	HP:0001596	Alopecia	Phenotype	MONDO:0004907	alopecia	Disease
amblyopia	HP:0000646	Amblyopia	Phenotype	MONDO:0001020	amblyopia	Disease
amyotrophiclateralsclerosis	HP:0007354	Amyotrophic lateral sclerosis	Phenotype	MONDO:0004976	amyotrophic lateral sclerosis	Disease
anemia	HP:0001903	Anemia	Phenotype	MONDO:0002280	anemia	Disease
anhidrosis	EFO:1000670	anhidrosis	Disease	HP:0000970	Anhidrosis	Phenotype
aniridia	HP:0000526	Aniridia	Phenotype	MONDO:0019172	aniridia	Disease
aorticvalvestenosis	HP:0001650	Aortic valve stenosis	Phenotype	MONDO:0042981	aortic valve stenosis	Disease
aplasticanemia	HP:0001915	Aplastic anemia	Phenotype	MONDO:0015909	aplastic anemia	Disease
arterialocclusion	HP:0025324	Arterial occlusion	Phenotype	MONDO:0020673	arterial occlusion	Disease
arthritis	EFO:0005856	arthritis	Disease	HP:0001369	Arthritis	Phenotype
asthma	HP:0002099	Asthma	Phenotype	MONDO:0004979	asthma	Disease
autism	EFO:0003758	autism	Disease	HP:0000717	Autism	Phenotype
avascularnecrosis	HP:0010885	Avascular necrosis	Phenotype	MONDO:0018373	avascular necrosis	Disease
azoospermia	EFO:0000279	azoospermia	Disease	HP:0000027	Azoospermia	Phenotype
biliaryatresia	HP:0005912	Biliary atresia	Phenotype	MONDO:0008867	biliary atresia	Disease
bladderdiverticulum	HP:0000015	Bladder diverticulum	Phenotype	MONDO:0007197	bladder diverticulum	Disease
brachydactyly	HP:0001156	Brachydactyly	Phenotype	MONDO:0021004	brachydactyly	Disease
bronchiectasis	HP:0002110	Bronchiectasis	Phenotype	MONDO:0004822	bronchiectasis	Disease
bronchiolitis	HP:0011950	Bronchiolitis	Phenotype	MONDO:0002465	bronchiolitis	Disease
cataract	HP:0000518	Cataract	Phenotype	MONDO:0005129	cataract	Disease
cellulitis	EFO:0003035	cellulitis	Disease	HP:0100658	Cellulitis	Phenotype
cervicalpolyp	EFO:0009475	cervical polyp	Disease	HP:0030159	Cervical polyp	Phenotype
cervicitis	HP:0030160	Cervicitis	Phenotype	MONDO:0002345	cervicitis	Disease
cheilitis	HP:0100825	Cheilitis	Phenotype	MONDO:0002102	cheilitis	Disease
cholangitis	HP:0030151	Cholangitis	Phenotype	MONDO:0004789	cholangitis	Disease
cholestasis	HP:0001396	Cholestasis	Phenotype	MONDO:0001751	cholestasis	Disease
chondrocalcinosis	HP:0000934	Chondrocalcinosis	Phenotype	MONDO:0001314	chondrocalcinosis	Disease
chordoma	HP:0010762	Chordoma	Phenotype	MONDO:0008978	chordoma	Disease
chorea	EFO:0004152	chorea	Disease	HP:0002072	Chorea	Phenotype
chorioretinitis	HP:0012424	Chorioretinitis	Phenotype	MONDO:0004674	chorioretinitis	Disease
chronicrhinitis	HP:0002257	Chronic rhinitis	Phenotype	MONDO:0004514	chronic rhinitis	Disease
cleftpalate	HP:0000175	Cleft palate	Phenotype	MONDO:0016064	cleft palate	Disease
combinedimmunodeficiency	HP:0005387	Combined immunodeficiency	Phenotype	MONDO:0015131	combined immunodeficiency	Disease
conedystrophy	HP:0008020	Cone dystrophy	Phenotype	MONDO:0000455	cone dystrophy	Disease
congestiveheartfailure	EFO:0000373	congestive heart failure	Disease	HP:0001635	Congestive heart failure	Phenotype
conjunctivitis	EFO:0009450	conjunctivitis	Disease	HP:0000509	Conjunctivitis	Phenotype
coxavara	EFO:1001298	Coxa Vara	Disease	HP:0002812	Coxa vara	Phenotype
cutislaxa	HP:0000973	Cutis laxa	Phenotype	MONDO:0016175	cutis laxa	Disease
delirium	EFO:0009267	delirium	Disease	HP:0031258	Delirium	Phenotype
dementia	HP:0000726	Dementia	Phenotype	MONDO:0001627	dementia	Disease
diabetesmellitus	EFO:0000400	diabetes mellitus	Disease	HP:0000819	Diabetes mellitus	Phenotype
dilatedcardiomyopathy	EFO:0000407	dilated cardiomyopathy	Disease	HP:0001644	Dilated cardiomyopathy	Phenotype
edema	EFO:0009373	edema	Disease	HP:0000969	Edema	Phenotype
endocarditis	EFO:0000465	endocarditis	Disease	HP:0100584	Endocarditis	Phenotype
epididymitis	HP:0000031	Epididymitis	Phenotype	MONDO:0004779	epididymitis	Disease
fasciitis	HP:0100537	Fasciitis	Phenotype	MONDO:0004830	fasciitis	Disease
focalsegmentalglomerulosclerosis	EFO:0004236	focal segmental glomerulosclerosis	Disease	HP:0000097	Focal segmental glomerulosclerosis	Phenotype
frontotemporaldementia	HP:0002145	Frontotemporal dementia	Phenotype	MONDO:0017276	frontotemporal dementia	Disease
generalizedlipodystrophy	HP:0009064	Generalized lipodystrophy	Phenotype	MONDO:0027766	generalized lipodystrophy	Disease
gingivitis	HP:0000230	Gingivitis	Phenotype	MONDO:0002508	gingivitis	Disease
glomerulonephritis	HP:0000099	Glomerulonephritis	Phenotype	MONDO:0002462	glomerulonephritis	Disease
glutaricaciduria	HP:0003150	Glutaric aciduria	Phenotype	MONDO:0000129	glutaric aciduria	Disease
goiter	EFO:0004283	goiter	Disease	HP:0000853	Goiter	Phenotype
gout	EFO:0004274	gout	Disease	HP:0001997	Gout	Phenotype
hamartoma	EFO:1000634	hamartoma	Disease	HP:0010566	Hamartoma	Phenotype
homocystinuria	HP:0002156	Homocystinuria	Phenotype	MONDO:0004737	homocystinuria	Disease
hordeolum	EFO:0007315	hordeolum	Disease	HP:0010606	Hordeolum	Phenotype
hydropsfetalis	HP:0001789	Hydrops fetalis	Phenotype	MONDO:0015193	hydrops fetalis	Disease
hyperlipidemia	HP:0003077	Hyperlipidemia	Phenotype	MONDO:0021187	hyperlipidemia	Disease
hyperlipoproteinemia	HP:0010980	Hyperlipoproteinemia	Phenotype	MONDO:0037748	hyperlipoproteinemia	Disease
hyperostosis	HP:0100774	Hyperostosis	Phenotype	MONDO:0002185	hyperostosis	Disease
hyperparathyroidism	EFO:0008506	hyperparathyroidism	Disease	HP:0000843	Hyperparathyroidism	Phenotype
hyperphosphatemia	HP:0002905	Hyperphosphatemia	Phenotype	MONDO:0000328	hyperphosphatemia	Disease
hyperpigmentationoftheskin	HP:0000953	Hyperpigmentation of the skin	Phenotype	MONDO:0019289	hyperpigmentation of the skin	Disease
hyperpituitarism	EFO:1000973	hyperpituitarism	Disease	HP:0010514	Hyperpituitarism	Phenotype
hypertension	EFO:0000537	hypertension	Disease	HP:0000822	Hypertension	Phenotype
hypertrichosis	HP:0000998	Hypertrichosis	Phenotype	MONDO:0019280	hypertrichosis	Disease
hyperuricemia	EFO:0009104	hyperuricemia	Disease	HP:0002149	Hyperuricemia	Phenotype
