Normalised_Label	Term1_ID	Term1_Label	Term1_Branch	Term2_ID	Term2_Label	Term2_Branch
1palmitoyl2palmitoleoylgpc(16:0/16:1)measurement	EFO:0022084	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1) measurement	Other	EFO:0800406	1-palmitoyl-2-palmitoleoyl-GPC(16:0/16:1) measurement	Other
3indoxylsulfatemeasurement	EFO:0010985	3-Indoxylsulfate measurement	Other	EFO:0022088	3-indoxyl sulfate measurement	Other
3msyndrome	MONDO:0007477	3-M syndrome	Disease	Orphanet:2616	3M syndrome	Disease
3phosphoglycericacid	CHEBI:17050	3-phosphoglyceric acid	Other	EFO:0010450	3-phosphoglyceric acid	Other
acidosis	EFO:1000014	acidosis	Disease	HP:0001941	Acidosis	Phenotype
acrocardiofacialsyndrome	MONDO:0010890	acrocardiofacial syndrome	Disease	Orphanet:2008	Acro-cardio-facial syndrome	Disease
acrofrontofacionasaldysostosis	MONDO:0008715	acrofrontofacionasal dysostosis	Disease	Orphanet:1784	Acro-fronto-facio-nasal dysostosis	Disease
acrootoocularsyndrome	MONDO:0009920	Acrootoocular syndrome	Disease	Orphanet:2980	Acro-oto-ocular syndrome	Disease
acropectoralsyndrome	MONDO:0011621	acropectoral syndrome	Disease	Orphanet:85203	Acro-pectoral syndrome	Disease
acropectororenaldysplasia	MONDO:0019840	acropectororenal dysplasia	Disease	Orphanet:956	Acro-pectoro-renal dysplasia	Disease
actionmyoclonusrenalfailuresyndrome	MONDO:0009699	action myoclonus-renal failure syndrome	Disease	Orphanet:163696	Action myoclonus - renal failure syndrome	Disease
acutekidneyinjury	HP:0001919	Acute kidney injury	Phenotype	MONDO:0002492	acute kidney injury	Disease
acutemonocyticleukemia	EFO:0000221	acute monocytic leukemia	Disease	HP:0004845	Acute monocytic leukemia	Phenotype
acutepancreatitis	EFO:1000652	acute pancreatitis	Disease	HP:0001735	Acute pancreatitis	Phenotype
adamdec1(human)	PR:O15204	ADAM DEC1 (human)	Other	gene:symbol:report?hgnc:id=16299	ADAMDEC1 (human)	Other
adipicacidmeasurement	EFO:0010455	adipic acid measurement	Other	EFO:0021575	Adipic acid measurement	Other
adnprelatedmultiplecongenitalanomaliesintellectualdisabilityautismspectrumdisorder	MONDO:0014379	ADNP-related multiple congenital anomalies - intellectual disability - autism spectrum disorder	Disease	Orphanet:404448	ADNP-related multiple congenital anomalies-intellectual disability-autism spectrum disorder	Disease
aggressivebehavior	EFO:0003015	aggressive behavior	Other	HP:0000718	Aggressive behavior	Phenotype
akirin2(human)	PR:Q53H80	akirin-2 (human)	Other	gene:symbol:report?hgnc:id=21407	AKIRIN2 (human)	Other
albinism	HP:0001022	Albinism	Phenotype	MONDO:0043209	albinism	Disease
