Pheno_ID	Pheno_Label	Disease_ID	Disease_Label	Normalized
HP:0001941	Acidosis	EFO:1000014	acidosis	acidosis
HP:0001919	Acute kidney injury	MONDO:0002492	acute kidney injury	acutekidneyinjury
HP:0004845	Acute monocytic leukemia	EFO:0000221	acute monocytic leukemia	acutemonocyticleukemia
HP:0001735	Acute pancreatitis	EFO:1000652	acute pancreatitis	acutepancreatitis
HP:0001022	Albinism	MONDO:0043209	albinism	albinism
HP:0001596	Alopecia	MONDO:0004907	alopecia	alopecia
HP:0000646	Amblyopia	MONDO:0001020	amblyopia	amblyopia
HP:0007354	Amyotrophic lateral sclerosis	MONDO:0004976	amyotrophic lateral sclerosis	amyotrophiclateralsclerosis
HP:0001903	Anemia	MONDO:0002280	anemia	anemia
HP:0000970	Anhidrosis	EFO:1000670	anhidrosis	anhidrosis
HP:0000526	Aniridia	MONDO:0019172	aniridia	aniridia
HP:0001650	Aortic valve stenosis	MONDO:0042981	aortic valve stenosis	aorticvalvestenosis
HP:0001915	Aplastic anemia	MONDO:0015909	aplastic anemia	aplasticanemia
HP:0025324	Arterial occlusion	MONDO:0020673	arterial occlusion	arterialocclusion
HP:0001369	Arthritis	EFO:0005856	arthritis	arthritis
HP:0002099	Asthma	MONDO:0004979	asthma	asthma
HP:0000717	Autism	EFO:0003758	autism	autism
HP:0010885	Avascular necrosis	MONDO:0018373	avascular necrosis	avascularnecrosis
HP:0000027	Azoospermia	EFO:0000279	azoospermia	azoospermia
HP:0005912	Biliary atresia	MONDO:0008867	biliary atresia	biliaryatresia
HP:0000015	Bladder diverticulum	MONDO:0007197	bladder diverticulum	bladderdiverticulum
HP:0001156	Brachydactyly	MONDO:0021004	brachydactyly	brachydactyly
HP:0002110	Bronchiectasis	MONDO:0004822	bronchiectasis	bronchiectasis
HP:0011950	Bronchiolitis	MONDO:0002465	bronchiolitis	bronchiolitis
HP:0000518	Cataract	MONDO:0005129	cataract	cataract
HP:0100658	Cellulitis	EFO:0003035	cellulitis	cellulitis
HP:0030159	Cervical polyp	EFO:0009475	cervical polyp	cervicalpolyp
HP:0030160	Cervicitis	MONDO:0002345	cervicitis	cervicitis
HP:0100825	Cheilitis	MONDO:0002102	cheilitis	cheilitis
HP:0030151	Cholangitis	MONDO:0004789	cholangitis	cholangitis
HP:0001396	Cholestasis	MONDO:0001751	cholestasis	cholestasis
HP:0000934	Chondrocalcinosis	MONDO:0001314	chondrocalcinosis	chondrocalcinosis
HP:0010762	Chordoma	MONDO:0008978	chordoma	chordoma
HP:0002072	Chorea	EFO:0004152	chorea	chorea
HP:0012424	Chorioretinitis	MONDO:0004674	chorioretinitis	chorioretinitis
HP:0002257	Chronic rhinitis	MONDO:0004514	chronic rhinitis	chronicrhinitis
HP:0000175	Cleft palate	MONDO:0016064	cleft palate	cleftpalate
HP:0005387	Combined immunodeficiency	MONDO:0015131	combined immunodeficiency	combinedimmunodeficiency
HP:0008020	Cone dystrophy	MONDO:0000455	cone dystrophy	conedystrophy
HP:0001635	Congestive heart failure	EFO:0000373	congestive heart failure	congestiveheartfailure
HP:0000509	Conjunctivitis	EFO:0009450	conjunctivitis	conjunctivitis
HP:0002812	Coxa vara	EFO:1001298	Coxa Vara	coxavara
HP:0000973	Cutis laxa	MONDO:0016175	cutis laxa	cutislaxa
HP:0031258	Delirium	EFO:0009267	delirium	delirium
HP:0000726	Dementia	MONDO:0001627	dementia	dementia
HP:0000819	Diabetes mellitus	EFO:0000400	diabetes mellitus	diabetesmellitus
HP:0001644	Dilated cardiomyopathy	EFO:0000407	dilated cardiomyopathy	dilatedcardiomyopathy
HP:0000969	Edema	EFO:0009373	edema	edema
HP:0100584	Endocarditis	EFO:0000465	endocarditis	endocarditis
HP:0000031	Epididymitis	MONDO:0004779	epididymitis	epididymitis
HP:0100537	Fasciitis	MONDO:0004830	fasciitis	fasciitis
HP:0000097	Focal segmental glomerulosclerosis	EFO:0004236	focal segmental glomerulosclerosis	focalsegmentalglomerulosclerosis
HP:0002145	Frontotemporal dementia	MONDO:0017276	frontotemporal dementia	frontotemporaldementia
HP:0009064	Generalized lipodystrophy	MONDO:0027766	generalized lipodystrophy	generalizedlipodystrophy
HP:0000230	Gingivitis	MONDO:0002508	gingivitis	gingivitis
HP:0000099	Glomerulonephritis	MONDO:0002462	glomerulonephritis	glomerulonephritis
HP:0003150	Glutaric aciduria	MONDO:0000129	glutaric aciduria	glutaricaciduria
HP:0000853	Goiter	EFO:0004283	goiter	goiter
HP:0001997	Gout	EFO:0004274	gout	gout
HP:0010566	Hamartoma	EFO:1000634	hamartoma	hamartoma
HP:0002156	Homocystinuria	MONDO:0004737	homocystinuria	homocystinuria
HP:0010606	Hordeolum	EFO:0007315	hordeolum	hordeolum
HP:0001789	Hydrops fetalis	MONDO:0015193	hydrops fetalis	hydropsfetalis
HP:0003077	Hyperlipidemia	MONDO:0021187	hyperlipidemia	hyperlipidemia
HP:0010980	Hyperlipoproteinemia	MONDO:0037748	hyperlipoproteinemia	hyperlipoproteinemia
HP:0100774	Hyperostosis	MONDO:0002185	hyperostosis	hyperostosis
HP:0000843	Hyperparathyroidism	EFO:0008506	hyperparathyroidism	hyperparathyroidism
