label	ID	parent_term
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 measurement	EFO_0020108	protein measurement (EFO_0004747)
14-3-3 protein beta/alpha measurement	EFO_0021957	protein measurement (EFO_0004747)
14-3-3 protein epsilon measurement	EFO_0021958	protein measurement (EFO_0004747)
14-3-3 protein family measurement	EFO_0020109	protein measurement (EFO_0004747)
14-3-3 protein sigma measurement	EFO_0020110	protein measurement (EFO_0004747)
14-3-3 protein theta measurement	EFO_0022011	protein measurement (EFO_0004747)
14-3-3 protein zeta/delta measurement	EFO_0021996	protein measurement (EFO_0004747)
15-hydroxyprostaglandin dehydrogenase [NAD(+)] measurement	EFO_0020111	protein measurement (EFO_0004747)
17-beta-hydroxysteroid dehydrogenase 14 measurement	EFO_0802231	protein measurement (EFO_0004747)
2',3'-cyclic-nucleotide 3'-phosphodiesterase measurement	EFO_0802232	protein measurement (EFO_0004747)
2'-5'-oligoadenylate synthase 1 measurement	EFO_0021911	protein measurement (EFO_0004747)
2-aminobutyrate measurement	EFO_0020017	amino acid level (OBA_1001001)
2-phosphoxylose phosphatase 1 measurement	EFO_0803305	protein measurement (EFO_0004747)
25-hydroxyvitamin D2 measurement	EFO_0803356	vitamin D level (OBA_1000968)
25-hydroxyvitamin D3 measurement	EFO_0803357	vitamin D level (OBA_1000968)
26S proteasome non-ATPase regulatory subunit 1 measurement	EFO_0802233	protein measurement (EFO_0004747)
26S proteasome non-ATPase regulatory subunit 11 measurement	EFO_0802234	protein measurement (EFO_0004747)
26S proteasome non-ATPase regulatory subunit 4 measurement	EFO_0802235	protein measurement (EFO_0004747)
26S proteasome non-ATPase regulatory subunit 5 measurement	EFO_0801331	protein measurement (EFO_0004747)
26S proteasome non-ATPase regulatory subunit 7 amount	OBA_2050236	protein amount (OBA_VT0010120)
3,3',5-triiodo-L-thyronine level	OBA_1000960	amino acid level (OBA_1001001)
3-hydroxy-3-methylglutaryl-coenzymeAreductase measurement	EFO_0020113	protein measurement (EFO_0004747)
3-hydroxyacyl-coa dehydrogenase type-2 measurement	EFO_0020114	protein measurement (EFO_0004747)
3-hydroxyanthranilate 3,4-dioxygenase measurement	EFO_0021862	protein measurement (EFO_0004747)
3-hydroxyanthranilate 3;4-dioxygenase measurement	EFO_0021997	protein measurement (EFO_0004747)
3-hydroxyanthranilic acid measurement	EFO_0010447	amino acid level (OBA_1001001)
3-hydroxyisobutyrate dehydrogenase, mitochondrial measurement	EFO_0020115	protein measurement (EFO_0004747)
3-mercaptopyruvate sulfurtransferase measurement	EFO_0802236	protein measurement (EFO_0004747)
3-phosphoinositide-dependent protein kinase 1 measurement	EFO_0020116	protein measurement (EFO_0004747)
39S ribosomal protein L14, mitochondrial measurement	EFO_0802237	protein measurement (EFO_0004747)
39S ribosomal protein L33, mitochondrial measurement	EFO_0801332	protein measurement (EFO_0004747)
39S ribosomal protein L34, mitochondrial measurement	EFO_0802238	protein measurement (EFO_0004747)
39S ribosomal protein L52, mitochondrial measurement	EFO_0802239	protein measurement (EFO_0004747)
4-hydroxy-2-oxoglutarate aldolase, mitochondrial measurement	EFO_0802240	protein measurement (EFO_0004747)
40S ribosomal protein S3a measurement	EFO_0801333	40s ribosomal protein S3 measurement (EFO_0020117)
40S ribosomal protein S4, X isoform measurement	EFO_0801334	protein measurement (EFO_0004747)
40s ribosomal protein S3 measurement	EFO_0020117	protein measurement (EFO_0004747)
40s ribosomal protein S7 measurement	EFO_0020118	protein measurement (EFO_0004747)
40s ribosomal protein SA measurement	EFO_0020119	protein measurement (EFO_0004747)
4E-BP1 measurement	EFO_0010760	blood protein amount (OBA_VT0005416)
5'(3')-deoxyribonucleotidase, cytosolic type measurement	EFO_0801336	protein measurement (EFO_0004747)
5'-nucleotidase measurement	EFO_0802241	protein measurement (EFO_0004747)
5-formyltetrahydrofolate cyclo-ligase measurement	EFO_0801335	protein measurement (EFO_0004747)
6-phosphogluconate dehydrogenase, decarboxylating measurement	EFO_0020120	protein measurement (EFO_0004747)
6-pyruvoyl tetrahydrobiopterin synthase measurement	EFO_0802242	protein measurement (EFO_0004747)
60 kda heat shock protein, mitochondrial measurement	EFO_0020121	protein measurement (EFO_0004747)
60S acidic ribosomal protein P2 measurement	EFO_0802243	protein measurement (EFO_0004747)
60S ribosomal protein L30 measurement	EFO_0801337	protein measurement (EFO_0004747)
72 kDa inositol polyphosphate 5-phosphatase measurement	EFO_0802244	protein measurement (EFO_0004747)
72 kda type IV collagenase measurement	EFO_0020122	protein measurement (EFO_0004747)
A/G-specific adenine DNA glycosylase measurement	EFO_0802246	protein measurement (EFO_0004747)
AARSD1/CHAC2 protein level ratio in blood	OBA_2053717	protein measurement (EFO_0004747)
AARSD1/EIF4EBP1 protein level ratio in blood	OBA_2053718	protein measurement (EFO_0004747)
AARSD1/METAP2 protein level ratio in blood	OBA_2053719	protein measurement (EFO_0004747)
AARSD1/PIK3AP1 protein level ratio in blood	OBA_2053720	protein measurement (EFO_0004747)
AARSD1/PPME1 protein level ratio in blood	OBA_2053721	protein measurement (EFO_0004747)
AARSD1/PSMD9 protein level ratio in blood	OBA_2053722	protein measurement (EFO_0004747)
AARSD1/PSMG3 protein level ratio in blood	OBA_2053723	protein measurement (EFO_0004747)
AARSD1/RWDD1 protein level ratio in blood	OBA_2053724	protein measurement (EFO_0004747)
AARSD1/TGM2 protein level ratio in blood	OBA_2053725	protein measurement (EFO_0004747)
AARSD1/UBAC1 protein level ratio in blood	OBA_2053726	protein measurement (EFO_0004747)
ABHD14B/AKT3 protein level ratio in blood	OBA_2053727	protein measurement (EFO_0004747)
ABHD14B/APRT protein level ratio in blood	OBA_2053728	protein measurement (EFO_0004747)
ABHD14B/CA13 protein level ratio in blood	OBA_2053729	protein measurement (EFO_0004747)
ABHD14B/CCS protein level ratio in blood	OBA_2053730	protein measurement (EFO_0004747)
ABHD14B/COMT protein level ratio in blood	OBA_2053731	protein measurement (EFO_0004747)
ABHD14B/CRADD protein level ratio in blood	OBA_2053732	protein measurement (EFO_0004747)
ABHD14B/DARS1 protein level ratio in blood	OBA_2053733	protein measurement (EFO_0004747)
ABHD14B/IMPA1 protein level ratio in blood	OBA_2053734	protein measurement (EFO_0004747)
ABHD14B/INPP1 protein level ratio in blood	OBA_2055764	protein measurement (EFO_0004747)
ABHD14B/SCRN1 protein level ratio in blood	OBA_2055765	protein measurement (EFO_0004747)
ABHD14B/SPARC protein level ratio in blood	OBA_2055766	protein measurement (EFO_0004747)
ABHD14B/STAMBP protein level ratio in blood	OBA_2055767	protein measurement (EFO_0004747)
ABL1/CC2D1A protein level ratio in blood	OBA_2055768	protein measurement (EFO_0004747)
ABL1/DNMBP protein level ratio in blood	OBA_2055769	protein measurement (EFO_0004747)
ABL1/PDLIM7 protein level ratio in blood	OBA_2055770	protein measurement (EFO_0004747)
ABL1/TBC1D23 protein level ratio in blood	OBA_2055771	protein measurement (EFO_0004747)
ACAA1/GRPEL1 protein level ratio in blood	OBA_2055772	protein measurement (EFO_0004747)
ACE2/GGT1 protein level ratio in blood	OBA_2055773	protein measurement (EFO_0004747)
ACE2/MME protein level ratio in blood	OBA_2055774	protein measurement (EFO_0004747)
ACOX1/VSIR protein level ratio in blood	OBA_2055775	protein measurement (EFO_0004747)
ACVRL1/EFNA4 protein level ratio in blood	OBA_2055776	protein measurement (EFO_0004747)
ACVRL1/SCARB2 protein level ratio in blood	OBA_2055777	protein measurement (EFO_0004747)
ACVRL1/TNFRSF10B protein level ratio in blood	OBA_2055778	protein measurement (EFO_0004747)
ACVRL1/TNFRSF19 protein level ratio in blood	OBA_2055779	protein measurement (EFO_0004747)
ACVRL1/TNFRSF9 protein level ratio in blood	OBA_2055780	protein measurement (EFO_0004747)
ACY1/ADH4 protein level ratio in blood	OBA_2055781	protein measurement (EFO_0004747)
ACY1/DCXR protein level ratio in blood	OBA_2055782	protein measurement (EFO_0004747)
ACY1/GSTA1 protein level ratio in blood	OBA_2055783	protein measurement (EFO_0004747)
ACY1/KYNU protein level ratio in blood	OBA_2055784	protein measurement (EFO_0004747)
ACY1/SCLY protein level ratio in blood	OBA_2053680	protein measurement (EFO_0004747)
ADA2/COMP protein level ratio in blood	OBA_2053681	protein measurement (EFO_0004747)
ADA2/VCAM1 protein level ratio in blood	OBA_2053682	protein measurement (EFO_0004747)
ADAM22/EPHB6 protein level ratio in blood	OBA_2053683	protein measurement (EFO_0004747)
ADAM23/BSG protein level ratio in blood	OBA_2053684	protein measurement (EFO_0004747)
ADAMTS-like protein 1 measurement	EFO_0802254	protein measurement (EFO_0004747)
ADAMTS13 activity measurement	EFO_0006955	protein measurement (EFO_0004747)
ADAMTS13 measurement	EFO_0009269	protein measurement (EFO_0004747)
ADAMTS15/CLMP protein level ratio in blood	OBA_2053735	protein measurement (EFO_0004747)
