child_iri	child_label	old_parent_iri	old_parent_label	new_parent_iri	new_parent_label	child_other_active_parents	action
http://purl.obolibrary.org/obo/DOID_0050890	synucleinopathy	http://www.ebi.ac.uk/efo/EFO_0005772	neurodegenerative disease	http://purl.obolibrary.org/obo/MONDO_0005559	neurodegenerative disease	0	replace_with_mondo
http://purl.obolibrary.org/obo/DOID_10113	trypanosomiasis	http://www.ebi.ac.uk/efo/EFO_0001067	parasitic infection	http://purl.obolibrary.org/obo/MONDO_0005135	parasitic infection	0	replace_with_mondo
http://purl.obolibrary.org/obo/DOID_10718	giardiasis	http://www.ebi.ac.uk/efo/EFO_0009561	parasitic intestinal disease	http://purl.obolibrary.org/obo/MONDO_0024270	parasitic intestinal disease	0	replace_with_mondo
http://purl.obolibrary.org/obo/DOID_13406	pulmonary sarcoidosis	http://www.ebi.ac.uk/efo/EFO_0000684	respiratory system disease	http://purl.obolibrary.org/obo/MONDO_0005087	respiratory system disease	0	replace_with_mondo
http://purl.obolibrary.org/obo/DOID_13406	pulmonary sarcoidosis	http://www.ebi.ac.uk/efo/EFO_0003818	lung disease	http://purl.obolibrary.org/obo/MONDO_0005275	lung disease	0	replace_with_mondo
http://purl.obolibrary.org/obo/DOID_1947	trichomoniasis	http://www.ebi.ac.uk/efo/EFO_0001067	parasitic infection	http://purl.obolibrary.org/obo/MONDO_0005135	parasitic infection	0	replace_with_mondo
http://purl.obolibrary.org/obo/DOID_7551	gonorrhea	http://www.ebi.ac.uk/efo/EFO_0000771	bacterial disease	http://purl.obolibrary.org/obo/MONDO_0005113	bacterial infectious disease	0	replace_with_mondo
http://purl.obolibrary.org/obo/HP_0000011		http://www.ebi.ac.uk/efo/EFO_1000018	bladder disease	http://purl.obolibrary.org/obo/MONDO_0006026	bladder disease	0	replace_with_mondo
http://purl.obolibrary.org/obo/HP_0000857		http://www.ebi.ac.uk/efo/EFO_0000400	diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005015	diabetes mellitus (disease)	0	replace_with_mondo
http://purl.obolibrary.org/obo/HP_0001634		http://www.ebi.ac.uk/efo/EFO_0009557	mitral valve disease	http://purl.obolibrary.org/obo/MONDO_0003767	mitral valve disease	0	replace_with_mondo
