?child	?label	?parents	?parentlabels
<http://purl.obolibrary.org/obo/OBA_2052915>	"amount of calcineurin subunit B type 1 (human) in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041821>	"level of guanylyl cyclase-activating protein 2 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041642>	"level of frizzled-7 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041136>	"level of CREB/ATF bZIP transcription factor in blood serum"	"http://purl.obolibrary.org/obo/OBA_2050579"	"level of CREB/ATF bZIP transcription factor in blood"
<http://purl.obolibrary.org/obo/OBA_2045137>	"level of Phosphatidylethanolamine (16:0_20:4) in blood serum"	"http://purl.obolibrary.org/obo/OBA_2045032"	"level of phosphatidylethanolamine in blood serum"
<http://purl.obolibrary.org/obo/OBA_2043619>	"level of ribosome biogenesis protein SPATA5 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051928>	"level of armadillo repeat-containing X-linked protein 2 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043606>	"level of sperm surface protein Sp17 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2042515>	"level of N-alpha-acetyltransferase 50 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2042029>	"level of inositol polyphosphate-4-phosphatase type I A in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2042389>	"level of matrix metalloproteinase-20 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2050753>	"level of MIT domain-containing protein 1 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041371>	"level of destrin in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051516>	"level of acyl-protein thioesterase 2 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043147>	"level of Ras-related protein Rab-24 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2052956>	"amount of tumor necrosis factor receptor superfamily member 10B (human) in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2050412>	"level of Thr-Phe in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043580>	"level of beta-1-syntrophin in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044471>	"level of ubiquitin-conjugating enzyme E2 W in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051744>	"level of metal cation symporter ZIP14 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043581>	"level of snurportin-1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051437>	"level of glucose-fructose oxidoreductase domain-containing protein 2 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2050308>	"eukaryotic translation initiation factor 5 amount"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041933>	"level of heparan sulfate glucosamine 3-O-sulfotransferase 4 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2052261>	"amount of 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 (human) in blood"	"http://purl.obolibrary.org/obo/OBA_2051619"	"level of 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 in blood"
<http://www.ebi.ac.uk/efo/EFO_0010900>	"anti-polyomavirus 2 antibody measurement"@en	"http://purl.obolibrary.org/obo/OBA_VT0002460"	"blood immunoglobulin amount"
<http://purl.obolibrary.org/obo/OBA_2041500>	"level of endoplasmic reticulum aminopeptidase 2 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2040484>	"level of 2-phosphoxylose phosphatase 1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044493>	"level of G antigen 2A in blood serum"	"http://purl.obolibrary.org/obo/OBA_2051037"	"level of G antigen 2A in blood"
<http://purl.obolibrary.org/obo/OBA_2042058>	"level of inter-alpha-trypsin inhibitor heavy chain H3 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051495>	"level of keratin, type II cytoskeletal 8 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044993>	"level of phosphoprotein associated with glycosphingolipid-enriched microdomains 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2051076"	"level of phosphoprotein associated with glycosphingolipid-enriched microdomains 1 in blood"
<http://purl.obolibrary.org/obo/OBA_2051435>	"level of GRIP and coiled-coil domain-containing protein 1 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041786>	"level of gremlin-2 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044283>	"level of DnaJ homolog subfamily C member 17 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2042102>	"level of DNA/RNA-binding protein KIN17 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2050996>	"level of zinc finger and BTB domain-containing protein 16 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043495>	"level of SH3 domain-containing kinase-binding protein 1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
