Mondo ID	EFO id	Mondo Label	EFO label
A oboInOwl:hasDbXref	ID		
MONDO:0006677	http://www.ebi.ac.uk/efo/EFO_1000838	bile reflux	bile reflux
MONDO:0006678	http://www.ebi.ac.uk/efo/EFO_1000839	bladder calculus	bladder calculus
MONDO:0006026	http://www.ebi.ac.uk/efo/EFO_1000018	bladder disease	bladder disease
MONDO:0004960	http://www.ebi.ac.uk/efo/EFO_0000203	monoclonal gammopathy	monoclonal gammopathy
MONDO:0006676	http://www.ebi.ac.uk/efo/EFO_1000837	beriberi	beriberi
MONDO:0006873	http://www.ebi.ac.uk/efo/EFO_1001067	nutritional deficiency disease	nutritional deficiency disease
MONDO:0006373	http://www.ebi.ac.uk/efo/EFO_1000478	pituitary gland adenoma	Pituitary Gland Adenoma
MONDO:0005065	http://www.ebi.ac.uk/efo/EFO_0000588	mesothelioma	mesothelioma
MONDO:0006671	http://www.ebi.ac.uk/efo/EFO_1000832	Bacteroides infectious disease	Bacteroides infectious disease
MONDO:0006672	http://www.ebi.ac.uk/efo/EFO_1000833	balanitis	balanitis
MONDO:0005039	http://www.ebi.ac.uk/efo/EFO_0000512	reproductive system disease	reproductive system disease
MONDO:0006680	http://www.ebi.ac.uk/efo/EFO_1000841	blue nevus	blue nevus
MONDO:0006681	http://www.ebi.ac.uk/efo/EFO_1000842	Borrelia infectious disease	Borrelia infectious disease
MONDO:0006679	http://www.ebi.ac.uk/efo/EFO_1000840	bladder neck obstruction	bladder neck obstruction
MONDO:0006686	http://www.ebi.ac.uk/efo/EFO_1000847	brain stem infarction	brain stem infarction
MONDO:0005394	http://www.ebi.ac.uk/efo/EFO_0004277	brain infarction	brain infarction
MONDO:0006684	http://www.ebi.ac.uk/efo/EFO_1000845	brain edema	brain edema
MONDO:0005560	http://www.ebi.ac.uk/efo/EFO_0005774	brain disease	brain disease
MONDO:0006682	http://www.ebi.ac.uk/efo/EFO_1000843	brachial plexus neuritis	brachial plexus neuritis
MONDO:0006683	http://www.ebi.ac.uk/efo/EFO_1000844	brachial plexus neuropathy	brachial plexus neuropathy
MONDO:0005071	http://www.ebi.ac.uk/efo/EFO_0000618	nervous system disease	nervous system disease
MONDO:0006690	http://www.ebi.ac.uk/efo/EFO_1000853	carotid artery thrombosis	carotid artery thrombosis
MONDO:0005269	http://www.ebi.ac.uk/efo/EFO_0003781	carotid artery disease	carotid artery disease
MONDO:0006687	http://www.ebi.ac.uk/efo/EFO_1000850	burning mouth syndrome	burning mouth syndrome
MONDO:0006688	http://www.ebi.ac.uk/efo/EFO_1000851	byssinosis	byssinosis
MONDO:0006693	http://www.ebi.ac.uk/efo/EFO_1000859	cerebral arterial disease	cerebral arterial disease
MONDO:0011057	http://www.ebi.ac.uk/efo/EFO_0003763	cerebrovascular disorder	cerebrovascular disorder
MONDO:0006692	http://www.ebi.ac.uk/efo/EFO_1000857	central pontine myelinolysis	central pontine myelinolysis
MONDO:0021697	http://www.ebi.ac.uk/efo/EFO_1000863	chlamydia infectious disease	Chlamydophila infectious disease
MONDO:0006698	http://www.ebi.ac.uk/efo/EFO_1000864	cholecystolithiasis	cholecystolithiasis
MONDO:0005281	http://www.ebi.ac.uk/efo/EFO_0003832	gallbladder disease	gallbladder disease
MONDO:0006696	http://www.ebi.ac.uk/efo/EFO_1000862	cervix erosion	cervix erosion
MONDO:0005089	http://www.ebi.ac.uk/efo/EFO_0000691	sarcoma	sarcoma
MONDO:0006694	http://www.ebi.ac.uk/efo/EFO_1000860	cerebral atherosclerosis	cerebral atherosclerosis
MONDO:0005311	http://www.ebi.ac.uk/efo/EFO_0003914	atherosclerosis	atherosclerosis
MONDO:0006030	http://www.ebi.ac.uk/efo/EFO_1000023	chronic cystitis	chronic cystitis
MONDO:0006701	http://www.ebi.ac.uk/efo/EFO_1000867	chromophobe adenoma	chromophobe adenoma
MONDO:0004972	http://www.ebi.ac.uk/efo/EFO_0000232	adenoma	adenoma
MONDO:0006702	http://www.ebi.ac.uk/efo/EFO_1000868	chronic inflammatory demyelinating polyradiculoneuropathy	chronic inflammatory demyelinating polyradiculoneuropathy
MONDO:0005559	http://www.ebi.ac.uk/efo/EFO_0005772	neurodegenerative disease	neurodegenerative disease
MONDO:0006699	http://www.ebi.ac.uk/efo/EFO_1000865	choledocholithiasis	choledocholithiasis
MONDO:0005154	http://www.ebi.ac.uk/efo/EFO_0001421	liver disease	liver disease
MONDO:0006700	http://www.ebi.ac.uk/efo/EFO_1000866	choroid cancer	choroid cancer
MONDO:0024388	http://www.ebi.ac.uk/efo/EFO_1000874	Clostridium infectious disease	commensal Clostridium infectious disease
MONDO:0006708	http://www.ebi.ac.uk/efo/EFO_1000875	commensal Desulfovibrionaceae infectious disease	commensal Desulfovibrionaceae infectious disease
MONDO:0006704	http://www.ebi.ac.uk/efo/EFO_1000870	CNS demyelinating autoimmune disease	CNS demyelinating autoimmune disease
MONDO:0006712	http://www.ebi.ac.uk/efo/EFO_1000879	corneal edema	corneal edema
MONDO:0005328	http://www.ebi.ac.uk/efo/EFO_0003966	eye disease	eye disease
MONDO:0006709	http://www.ebi.ac.uk/efo/EFO_1000876	common bile duct neoplasm	common bile duct neoplasm
MONDO:0006710	http://www.ebi.ac.uk/efo/EFO_1000877	complex partial epilepsy	complex partial epilepsy
MONDO:0005384	http://www.ebi.ac.uk/efo/EFO_0004263	partial epilepsy	partial epilepsy
MONDO:0006717	http://www.ebi.ac.uk/efo/EFO_1000885	cutaneous fibrous histiocytoma	cutaneous fibrous histiocytoma
MONDO:0005509	http://www.ebi.ac.uk/efo/EFO_0005561	histiocytoma	histiocytoma
MONDO:0005308	http://www.ebi.ac.uk/efo/EFO_0003900	ciliopathy	ciliopathy
MONDO:0006716	http://www.ebi.ac.uk/efo/EFO_1000883	coronary thrombosis	coronary thrombosis
MONDO:0005010	http://www.ebi.ac.uk/efo/EFO_0001645	coronary artery disease	coronary artery disease
MONDO:0006714	http://www.ebi.ac.uk/efo/EFO_1000881	coronary aneurysm	coronary aneurysm
MONDO:0004995	http://www.ebi.ac.uk/efo/EFO_0000319	cardiovascular disease	cardiovascular disease
MONDO:0006713	http://www.ebi.ac.uk/efo/EFO_1000880	corneal neovascularization	corneal neovascularization
MONDO:0006720	http://www.ebi.ac.uk/efo/EFO_1000889	cystic, mucinous, and serous neoplasm	cystic, mucinous, and serous neoplasm
MONDO:0006718	http://www.ebi.ac.uk/efo/EFO_1000887	cutaneous syphilis	cutaneous syphilis
MONDO:0005093	http://www.ebi.ac.uk/efo/EFO_0000701	skin disease	skin disease
MONDO:0005976	http://www.ebi.ac.uk/efo/EFO_0007504	syphilis	syphilis
MONDO:0009761	http://www.ebi.ac.uk/efo/EFO_1000888	cystic hygroma	cystic lymphangioma
MONDO:0005294	http://www.ebi.ac.uk/efo/EFO_0003875	peripheral vascular disease	peripheral vascular disease
MONDO:0012819	http://www.ebi.ac.uk/efo/EFO_1000897	diabetic ketoacidosis	diabetic ketoacidosis
MONDO:0019373	http://www.ebi.ac.uk/efo/EFO_1000895	desmoplastic small round cell tumor	desmoplastic small round cell tumor
MONDO:0006722	http://www.ebi.ac.uk/efo/EFO_1000892	dental fluorosis	dental fluorosis
MONDO:0006999	http://www.ebi.ac.uk/efo/EFO_1001216	tooth disease	tooth disease
MONDO:0006723	http://www.ebi.ac.uk/efo/EFO_1000893	denture stomatitis	denture stomatitis
MONDO:0009072	http://www.ebi.ac.uk/efo/EFO_1000890	Dandy-Walker syndrome	Dandy-Walker syndrome
MONDO:0006721	http://www.ebi.ac.uk/efo/EFO_1000891	de Quervain disease	De Quervain disease
MONDO:0005381	http://www.ebi.ac.uk/efo/EFO_0004260	bone disease	bone disease
MONDO:0006727	http://www.ebi.ac.uk/efo/EFO_1000899	diastolic heart failure	diastolic heart failure
MONDO:0005009	http://www.ebi.ac.uk/efo/EFO_0000373	congestive heart failure	congestive heart failure
MONDO:0004989	http://www.ebi.ac.uk/efo/EFO_0000305	breast carcinoma	breast carcinoma
MONDO:0005401	http://www.ebi.ac.uk/efo/EFO_0004288	colonic neoplasm	colonic neoplasm
MONDO:0005218	http://www.ebi.ac.uk/efo/EFO_0002970	muscular disease	muscular disease
MONDO:0011782	http://www.ebi.ac.uk/efo/EFO_1000805	angioid streaks	angioid streaks
MONDO:0006645	http://www.ebi.ac.uk/efo/EFO_1000803	alcoholic neuropathy	alcoholic neuropathy
MONDO:0006643	http://www.ebi.ac.uk/efo/EFO_1000801	alcoholic cardiomyopathy	alcoholic cardiomyopathy
MONDO:0004994	http://www.ebi.ac.uk/efo/EFO_0000318	cardiomyopathy	cardiomyopathy
MONDO:0006644	http://www.ebi.ac.uk/efo/EFO_1000802	alcoholic liver cirrhosis	alcoholic liver cirrhosis
MONDO:0005155	http://www.ebi.ac.uk/efo/EFO_0001422	cirrhosis of liver	cirrhosis of liver
MONDO:0006642	http://www.ebi.ac.uk/efo/EFO_1000800	alcohol withdrawal delirium	alcohol withdrawal delirium
MONDO:0006649	http://www.ebi.ac.uk/efo/EFO_1000809	anterior ischemic optic neuropathy	anterior ischemic optic neuropathy
MONDO:0006647	http://www.ebi.ac.uk/efo/EFO_1000807	anterior cerebral artery infarction	anterior cerebral artery infarction
MONDO:0006648	http://www.ebi.ac.uk/efo/EFO_1000808	anterior compartment syndrome	anterior compartment syndrome
MONDO:0006656	http://www.ebi.ac.uk/efo/EFO_1000816	aortitis	aortitis
MONDO:0005561	http://www.ebi.ac.uk/efo/EFO_0005775	aortic disease	aortic disease
MONDO:0006654	http://www.ebi.ac.uk/efo/EFO_1000814	anthracosis	anthracosis
MONDO:0006655	http://www.ebi.ac.uk/efo/EFO_1000815	aortic valve prolapse	aortic valve prolapse
MONDO:0005267	http://www.ebi.ac.uk/efo/EFO_0003777	heart disease	heart disease
MONDO:0006652	http://www.ebi.ac.uk/efo/EFO_1000812	anterolateral myocardial infarction	anterolateral myocardial infarction
MONDO:0006653	http://www.ebi.ac.uk/efo/EFO_1000813	anthracosilicosis	anthracosilicosis
MONDO:0006650	http://www.ebi.ac.uk/efo/EFO_1000810	anterior spinal artery syndrome	anterior spinal artery syndrome
MONDO:0007150	http://www.ebi.ac.uk/efo/EFO_1000818	arcus senilis	arcus senilis
MONDO:0006658	http://www.ebi.ac.uk/efo/EFO_1000819	arteriolosclerosis	arteriolosclerosis
MONDO:0006659	http://www.ebi.ac.uk/efo/EFO_1000820	arteriosclerosis obliterans	arteriosclerosis obliterans
MONDO:0006666	http://www.ebi.ac.uk/efo/EFO_1000827	atrophy of thyroid	atrophy of thyroid
MONDO:0020322	http://www.ebi.ac.uk/efo/EFO_1000828	b- and T-cell mixed leukemia	B- and T-cell mixed leukemia
MONDO:0006664	http://www.ebi.ac.uk/efo/EFO_1000825	atrial heart septal defect	atrial heart septal defect
MONDO:0006662	http://www.ebi.ac.uk/efo/EFO_1000823	aseptic meningitis	aseptic meningitis
MONDO:0004796	http://www.ebi.ac.uk/efo/EFO_0000584	infectious meningitis	infectious meningitis
MONDO:0006663	http://www.ebi.ac.uk/efo/EFO_1000824	asphyxia neonatorum	asphyxia neonatorum
MONDO:0005087	http://www.ebi.ac.uk/efo/EFO_0000684	respiratory system disease	respiratory system disease
MONDO:0006660	http://www.ebi.ac.uk/efo/EFO_1000821	arthus reaction	arthus reaction
MONDO:0007004	http://www.ebi.ac.uk/efo/EFO_1001222	hypersensitivity reaction type III disease	type III hypersensitivity reaction disease
MONDO:0006668	http://www.ebi.ac.uk/efo/EFO_1000829	bacterial conjunctivitis	bacterial conjunctivitis
MONDO:0006170	http://www.ebi.ac.uk/efo/EFO_1000203	conjunctival disorder	Conjunctival Disorder
MONDO:0006670	http://www.ebi.ac.uk/efo/EFO_1000831	bacterial meningitis	bacterial meningitis
MONDO:0005140	http://www.ebi.ac.uk/efo/EFO_0001075	ovarian carcinoma	ovarian carcinoma
MONDO:0006641	http://www.ebi.ac.uk/efo/EFO_1000799	afferent loop syndrome	afferent loop syndrome
MONDO:0005283	http://www.ebi.ac.uk/efo/EFO_0003839	retinopathy	retinopathy
MONDO:0005046	http://www.ebi.ac.uk/efo/EFO_0000540	immune system disease	immune system disease
MONDO:0006779	http://www.ebi.ac.uk/efo/EFO_1000959	heart aneurysm	heart aneurysm
MONDO:0006777	http://www.ebi.ac.uk/efo/EFO_1000957	hairy tongue	hairy tongue
MONDO:0006858	http://www.ebi.ac.uk/efo/EFO_1001047	mouth disease	mouth disease
MONDO:0006778	http://www.ebi.ac.uk/efo/EFO_1000958	halo nevus	halo nevus
MONDO:0000889	http://www.ebi.ac.uk/efo/EFO_1000955	haemophilus influenzae meningitis	Haemophilus influenzae meningitis
MONDO:0018935	http://www.ebi.ac.uk/efo/EFO_1000956	hairy cell leukemia	hairy cell leukemia
MONDO:0006773	http://www.ebi.ac.uk/efo/EFO_1000953	gonadal tissue neoplasm	gonadal tissue neoplasm
MONDO:0006054	http://www.ebi.ac.uk/efo/EFO_1000051	reproductive system neoplasm	reproductive system neoplasm
MONDO:0006782	http://www.ebi.ac.uk/efo/EFO_1000962	hemometra	hemometra
MONDO:0006783	http://www.ebi.ac.uk/efo/EFO_1000963	hemopneumothorax	hemopneumothorax
MONDO:0006781	http://www.ebi.ac.uk/efo/EFO_1000961	helicobacter pylori infectious disease	Helicobacter pylori infectious disease
MONDO:0006788	http://www.ebi.ac.uk/efo/EFO_1000968	hydrophthalmos	hydrophthalmos
MONDO:0006789	http://www.ebi.ac.uk/efo/EFO_1000969	hyperamylasemia	hyperamylasemia
MONDO:0005570	http://www.ebi.ac.uk/efo/EFO_0005803	hematological system disease	hematological system disease
MONDO:0006786	http://www.ebi.ac.uk/efo/EFO_1000966	hepatic vein thrombosis	hepatic vein thrombosis
MONDO:0005385	http://www.ebi.ac.uk/efo/EFO_0004264	vascular disease	vascular disease
MONDO:0006787	http://www.ebi.ac.uk/efo/EFO_1000967	hidrocystoma	hidrocystoma
MONDO:0006784	http://www.ebi.ac.uk/efo/EFO_1000964	hemorrhagic disease of newborn	hemorrhagic disease of newborn
MONDO:0005137	http://www.ebi.ac.uk/efo/EFO_0001069	nutritional disorder	nutritional disorder
MONDO:0006793	http://www.ebi.ac.uk/efo/EFO_1000973	hyperpituitarism	hyperpituitarism
MONDO:0005151	http://www.ebi.ac.uk/efo/EFO_0001379	endocrine system disease	endocrine system disease
MONDO:0006794	http://www.ebi.ac.uk/efo/EFO_1000974	hypersensitivity vasculitis	hypersensitivity vasculitis
MONDO:0006792	http://www.ebi.ac.uk/efo/EFO_1000972	hyperglobulinemic purpura	hyperglobulinemic purpura
MONDO:0006790	http://www.ebi.ac.uk/efo/EFO_1000970	hypercementosis	hypercementosis
MONDO:0006799	http://www.ebi.ac.uk/efo/EFO_1000979	hypothalamic neoplasm	hypothalamic neoplasm
MONDO:0006797	http://www.ebi.ac.uk/efo/EFO_1000977	hypertensive retinopathy	hypertensive retinopathy
MONDO:0006798	http://www.ebi.ac.uk/efo/EFO_1000978	hypervitaminosis A	hypervitaminosis A
MONDO:0006796	http://www.ebi.ac.uk/efo/EFO_1000976	hypertensive encephalopathy	hypertensive encephalopathy
MONDO:0005156	http://www.ebi.ac.uk/efo/EFO_0001423	encephalomyelitis	encephalomyelitis
MONDO:0006804	http://www.ebi.ac.uk/efo/EFO_1000984	inflammatory breast carcinoma	inflammatory breast carcinoma
MONDO:0004988	http://www.ebi.ac.uk/efo/EFO_0000304	breast adenocarcinoma	breast adenocarcinoma
MONDO:0006805	http://www.ebi.ac.uk/efo/EFO_1000985	intermediate coronary syndrome	intermediate coronary syndrome
