?child	?label
<http://www.ebi.ac.uk/efo/EFO_0001444>	"measurement"
<http://www.ebi.ac.uk/efo/EFO_0006959>	"gene methylation measurement"
<http://www.ebi.ac.uk/efo/EFO_0004357>	"electroencephalogram measurement"
<http://www.ebi.ac.uk/efo/EFO_0006873>	"theta wave measurement"
<http://www.ebi.ac.uk/efo/EFO_0006872>	"delta wave measurement"
<http://www.ebi.ac.uk/efo/EFO_0006871>	"beta wave measurement"
<http://www.ebi.ac.uk/efo/EFO_0006870>	"alpha wave measurement"
<http://www.ebi.ac.uk/efo/EFO_0006883>	"alpha peak frequency measurement"
<http://www.ebi.ac.uk/efo/EFO_0004358>	"event-related brain oscillation"
<http://www.ebi.ac.uk/efo/EFO_0004506>	"monocyte early outgrowth colony forming unit"
<http://www.ebi.ac.uk/efo/EFO_0004461>	"iron biomarker measurement"
<http://www.ebi.ac.uk/efo/EFO_0021421>	"spleen iron measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0007902>	"hepcidin:transferrin saturation ratio"
<http://www.ebi.ac.uk/efo/EFO_0007901>	"hepcidin:ferritin ratio"
<http://www.ebi.ac.uk/efo/EFO_0006341>	"transferrin measurement"
<http://www.ebi.ac.uk/efo/EFO_0021537>	"transferrin glycosylation measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0006334>	"total iron binding capacity"
<http://www.ebi.ac.uk/efo/EFO_0006333>	"transferrin saturation measurement"
<http://www.ebi.ac.uk/efo/EFO_0004460>	"soluble transferrin receptor measurement"
<http://www.ebi.ac.uk/efo/EFO_0004459>	"ferritin measurement"
<http://www.ebi.ac.uk/efo/EFO_0004554>	"genomic measurement"
<http://www.ebi.ac.uk/efo/EFO_0022842>	"mosaic loss of chromosome X measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0009860>	"chromosomal aberration frequency"
<http://www.ebi.ac.uk/efo/EFO_0009862>	"chromatid-type aberration frequency"
<http://www.ebi.ac.uk/efo/EFO_0009861>	"chromosome-type aberration frequency"
<http://www.ebi.ac.uk/efo/EFO_0007783>	"mosaic loss of chromosome Y measurement"
<http://www.ebi.ac.uk/efo/EFO_0007593>	"chromatid break measurement"
<http://www.ebi.ac.uk/efo/EFO_0005919>	"recombination measurement"
<http://www.ebi.ac.uk/efo/EFO_0004863>	"recombination rate"
<http://www.ebi.ac.uk/efo/EFO_0004828>	"genetic variation"
<http://www.ebi.ac.uk/efo/EFO_0004798>	"copy number variation"
<http://www.ebi.ac.uk/efo/EFO_0000513>	"genotype"
<http://www.ebi.ac.uk/efo/EFO_0005168>	"wild type genotype"
<http://www.ebi.ac.uk/efo/EFO_0004973>	"germline genotype"
<http://www.ebi.ac.uk/efo/EFO_0004972>	"somatic genotype"
<http://www.ebi.ac.uk/efo/EFO_0009892>	"facial attractiveness measurement"
<http://www.ebi.ac.uk/efo/EFO_0021486>	"ubiquinone measurement"
<http://www.ebi.ac.uk/efo/EFO_0010639>	"pain measurement"
<http://www.ebi.ac.uk/efo/EFO_0010640>	"chronic post-operative pain measurement"
<http://www.ebi.ac.uk/efo/EFO_0011014>	"health-related quality of life measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0005691>	"plasma trimethylamine N-oxide measurement"
<http://www.ebi.ac.uk/efo/EFO_0006806>	"paragraph delayed recall measurement"
<http://www.ebi.ac.uk/efo/EFO_0006935>	"thalamus volume"
<http://www.ebi.ac.uk/efo/EFO_0021496>	"thalamus volume change measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0010104>	"health literacy measurement"
<http://www.ebi.ac.uk/efo/EFO_0010513>	"nucleotide measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0010545>	"uridine diphosphate measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0020013>	"5-methyluridine (ribothymidine) measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0010544>	"uridine diphosphate glucose measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0010543>	"uridine diphosphate galactose measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0010495>	"guanosine monophosphate measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0010494>	"guanosine diphosphate measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0010473>	"cyclic adenosine monophosphate measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0010454>	"adenosine monophosphate measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0010452>	"adenosine diphosphate measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0803364>	"sleep efficiency"@en
<http://www.ebi.ac.uk/efo/EFO_0021530>	"blood tin measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0007825>	"balding measurement"
<http://www.ebi.ac.uk/efo/EFO_0005089>	"whole-brain volume"
<http://www.ebi.ac.uk/efo/EFO_0021504>	"total brain volume change measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0004804>	"birth rate"
<http://www.ebi.ac.uk/efo/EFO_0010742>	"protein binding measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0009307>	"glycated albumin measurement"
<http://www.ebi.ac.uk/efo/EFO_0009305>	"total glycated albumin"
<http://www.ebi.ac.uk/efo/EFO_0009304>	"percent glycated albumin"
