normalized_form	collision_description
10p12p11microdeletionsyndrome	MONDO_0017283[hasExactSynonym=10p12p11 microdeletion syndrome] | Orphanet_284169[hasExactSynonym=10p12p11 microdeletion syndrome]
11betahydroxysteroiddehydrogenasedeficiencytype1	MONDO_0000193[hasExactSynonym=11-beta-hydroxysteroid dehydrogenase deficiency type 1] | Orphanet_168588[hasExactSynonym=11-beta-hydroxysteroid dehydrogenase deficiency type 1]
14q22q23microdeletionsyndrome	MONDO_0012324[hasExactSynonym=14q22-q23 microdeletion syndrome] | MONDO_0012324[hasExactSynonym=14q22q23 microdeletion syndrome] | Orphanet_264200[hasExactSynonym=14q22-q23 microdeletion syndrome] | Orphanet_264200[label=14q22q23 microdeletion syndrome]
15q112microdeletionsyndrome	MONDO_0014294[hasExactSynonym=15q11.2 microdeletion syndrome] | Orphanet_261183[label=15q11.2 microdeletion syndrome]
15q133microdeletionsyndrome	MONDO_0012774[hasExactSynonym=15q13.3 microdeletion syndrome] | Orphanet_199318[label=15q13.3 microdeletion syndrome]
15q24microdeletionsyndrome	MONDO_0013256[hasExactSynonym=15q24 microdeletion syndrome] | Orphanet_94065[label=15q24 microdeletion syndrome]
15q263microdeletionsyndrome	MONDO_0013176[hasExactSynonym=15q26.3 microdeletion syndrome] | Orphanet_363992[hasExactSynonym=15q26.3 microdeletion syndrome]
16p133microduplicationsyndrome	MONDO_0013273[hasExactSynonym=16p13.3 microduplication syndrome] | Orphanet_96078[label=16p13.3 microduplication syndrome]
17alphahydroxylase1720lyasedeficiency	MONDO_0008730[hasExactSynonym=17-alpha-hydroxylase/17,20-lyase deficiency] | EFO_0009067[hasExactSynonym=17-Alpha-Hydroxylase/17,20 Lyase Deficiency]
17p133duplicationsyndrome	MONDO_0013182[hasExactSynonym=17p13.3 duplication syndrome] | Orphanet_217385[hasExactSynonym=17p13.3 duplication syndrome]
17p133microduplicationsyndrome	MONDO_0013182[hasExactSynonym=17p13.3 microduplication syndrome] | Orphanet_217385[label=17p13.3 microduplication syndrome]
17q11microdeletionsyndrome	MONDO_0013357[hasExactSynonym=17q11 microdeletion syndrome] | Orphanet_97685[label=17q11 microdeletion syndrome]
17q12microdeletionsyndrome	MONDO_0013797[hasExactSynonym=17q12 microdeletion syndrome] | Orphanet_261265[label=17q12 microdeletion syndrome]
17q12microduplicationsyndrome	MONDO_0013796[hasExactSynonym=17q12 microduplication syndrome] | Orphanet_261272[label=17q12 microduplication syndrome]
17q2131microduplicationsyndrome	MONDO_0013298[hasExactSynonym=17q21.31 microduplication syndrome] | Orphanet_217340[label=17q21.31 microduplication  syndrome]
18psyndrome	MONDO_0007800[hasExactSynonym=18p syndrome] | Orphanet_1598[hasExactSynonym=18p- syndrome]
19q1311microdeletionsyndrome	MONDO_0013090[hasExactSynonym=19q13.11 microdeletion syndrome] | Orphanet_217346[label=19q13.11 microdeletion syndrome]
1alphahydroxylasedeficiency	MONDO_0009924[hasExactSynonym=1 Alpha-hydroxylase deficiency] | MONDO_0009924[hasExactSynonym=1-alpha-hydroxylase deficiency] | Orphanet_289157[hasExactSynonym=1-alpha-hydroxylase deficiency]
1p36deletionsyndrome	MONDO_0011929[hasExactSynonym=1p36 deletion syndrome] | Orphanet_1606[label=1p36 deletion syndrome]
1palmitoyl2palmitoleoylgpc160161measurement	EFO_0022084[label=1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1) measurement] | EFO_0800406[label=1-palmitoyl-2-palmitoleoyl-GPC(16:0/16:1) measurement]
1q211microdeletionsyndrome	MONDO_0012914[hasExactSynonym=1q21.1 microdeletion syndrome] | Orphanet_250989[label=1q21.1 microdeletion syndrome]
1q211microduplicationsyndrome	MONDO_0012915[hasExactSynonym=1q21.1 microduplication syndrome] | Orphanet_250994[label=1q21.1 microduplication syndrome]
