obsolete_mondo_term	label	replaced_by (non-Mondo)
http://purl.obolibrary.org/obo/MONDO_0000839	obsolete congenital abnormality	none
http://purl.obolibrary.org/obo/MONDO_0000991	obsolete left bundle branch block	none
http://purl.obolibrary.org/obo/MONDO_0001578	obsolete hernia of ovary and fallopian tube	none
http://purl.obolibrary.org/obo/MONDO_0001589	obsolete vaginal enterocele	none
http://purl.obolibrary.org/obo/MONDO_0002125	obsolete status epilepticus	none
http://purl.obolibrary.org/obo/MONDO_0002336	obsolete inflammatory and toxic neuropathy	none
http://purl.obolibrary.org/obo/MONDO_0005741	obsolete egg allergy	none
http://purl.obolibrary.org/obo/MONDO_0006748	obsolete epilepsia partialis continua	none
http://purl.obolibrary.org/obo/MONDO_0007021	obsolete wheat allergic disease	none
http://purl.obolibrary.org/obo/MONDO_0007348	obsolete colchicine resistance	none
http://purl.obolibrary.org/obo/MONDO_0007591	obsolete facial hypertrichosis	none
http://purl.obolibrary.org/obo/MONDO_0007607	obsolete Birt-Hogg-Dube syndrome	http://www.ebi.ac.uk/efo/EFO_0700020
http://purl.obolibrary.org/obo/MONDO_0007761	obsolete hyperlipoproteinemia type IV	none
http://purl.obolibrary.org/obo/MONDO_0007779	obsolete autosomal dominant Opitz G/BBB syndrome	none
http://purl.obolibrary.org/obo/MONDO_0008347	obsolete idiopathic and/or familial pulmonary arterial hypertension	none
http://purl.obolibrary.org/obo/MONDO_0008406	obsolete autosomal recessive Emery-Dreifuss muscular dystrophy	http://www.ebi.ac.uk/efo/EFO_0700021
http://purl.obolibrary.org/obo/MONDO_0008597	obsolete trichorhinophalangeal syndrome, type III	none
http://purl.obolibrary.org/obo/MONDO_0008996	obsolete COACH syndrome 1	none
http://purl.obolibrary.org/obo/MONDO_0009930	obsolete pulmonary arteriovenous malformation	none
http://purl.obolibrary.org/obo/MONDO_0010086	obsolete sudden infant death syndrome	none
http://purl.obolibrary.org/obo/MONDO_0010123	obsolete absent thumb-short stature-immunodeficiency syndrome	none
http://purl.obolibrary.org/obo/MONDO_0010994	obsolete micromelic dwarfism, Fryns type	none
http://purl.obolibrary.org/obo/MONDO_0011469	obsolete congenital amegakaryocytic thrombocytopenia	none
http://purl.obolibrary.org/obo/MONDO_0011876	obsolete juvenile absence epilepsy	none
http://purl.obolibrary.org/obo/MONDO_0013524	obsolete bleeding diathesis due to thromboxane synthesis deficiency	http://www.ebi.ac.uk/efo/EFO_0700023
http://purl.obolibrary.org/obo/MONDO_0013586	obsolete Chitotriosidase deficiency	none
http://purl.obolibrary.org/obo/MONDO_0013733	obsolete accelerated tumor formation, susceptibility to	none
http://purl.obolibrary.org/obo/MONDO_0013742	obsolete familial mesial temporal lobe epilepsy with febrile seizures	http://www.ebi.ac.uk/efo/EFO_0700024
http://purl.obolibrary.org/obo/MONDO_0014330	obsolete eculizumab, poor response to	none
http://purl.obolibrary.org/obo/MONDO_0014753	obsolete autosomal recessive optic atrophy	http://www.ebi.ac.uk/efo/EFO_0700025
http://purl.obolibrary.org/obo/MONDO_0014763	obsolete Bombay phenotype	none
http://purl.obolibrary.org/obo/MONDO_0015088	obsolete autosomal dominant pure spastic paraplegia	http://www.ebi.ac.uk/efo/EFO_0700026
http://purl.obolibrary.org/obo/MONDO_0015089	obsolete autosomal recessive complex spastic paraplegia	http://www.ebi.ac.uk/efo/EFO_0700027
http://purl.obolibrary.org/obo/MONDO_0015090	obsolete autosomal recessive pure spastic paraplegia	none
http://purl.obolibrary.org/obo/MONDO_0015110	obsolete genetic cardiac rhythm disease	none
http://purl.obolibrary.org/obo/MONDO_0015111	obsolete gastroesophageal disease	http://www.ebi.ac.uk/efo/EFO_0700028
http://purl.obolibrary.org/obo/MONDO_0015132	obsolete immunodeficiency predominantly affecting antibody production	none
http://purl.obolibrary.org/obo/MONDO_0015135	obsolete primary immunodeficiency due to a genetic defect in innate immunity	none
http://purl.obolibrary.org/obo/MONDO_0015144	obsolete brain inflammatory disease	http://www.ebi.ac.uk/efo/EFO_0700029
http://purl.obolibrary.org/obo/MONDO_0015145	obsolete neurovascular malformation	none
http://purl.obolibrary.org/obo/MONDO_0015147	obsolete other syndrome with lissencephaly as a major feature	none
