deprecated_term	replacement	status
http://purl.obolibrary.org/obo/MONDO_0000839		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0000883	http://purl.obolibrary.org/obo/MONDO_0015690	OK
http://purl.obolibrary.org/obo/MONDO_0000991		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0001578		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0001589		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0001859	http://purl.obolibrary.org/obo/MONDO_0019369	OK
http://purl.obolibrary.org/obo/MONDO_0002125		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0002336		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0002497	http://purl.obolibrary.org/obo/MONDO_0700226	OK
http://purl.obolibrary.org/obo/MONDO_0005259	http://purl.obolibrary.org/obo/MONDO_0100610	OK
http://purl.obolibrary.org/obo/MONDO_0005731	http://purl.obolibrary.org/obo/MONDO_0005838	OK
http://purl.obolibrary.org/obo/MONDO_0005741		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0006089	http://purl.obolibrary.org/obo/MONDO_0018017	OK
http://purl.obolibrary.org/obo/MONDO_0006361	http://purl.obolibrary.org/obo/MONDO_0008231	OK
http://purl.obolibrary.org/obo/MONDO_0006518	http://purl.obolibrary.org/obo/MONDO_0016079	OK
http://purl.obolibrary.org/obo/MONDO_0006588	http://purl.obolibrary.org/obo/MONDO_0010962	OK
http://purl.obolibrary.org/obo/MONDO_0006748		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0006772	http://purl.obolibrary.org/obo/MONDO_0010598	OK
http://purl.obolibrary.org/obo/MONDO_0006832	http://purl.obolibrary.org/obo/MONDO_0016358	OK
http://purl.obolibrary.org/obo/MONDO_0006906	http://purl.obolibrary.org/obo/MONDO_0024686	OK
http://purl.obolibrary.org/obo/MONDO_0006928	http://purl.obolibrary.org/obo/MONDO_0100450	OK
http://purl.obolibrary.org/obo/MONDO_0007021		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0007291	http://purl.obolibrary.org/obo/MONDO_0031037	OK
http://purl.obolibrary.org/obo/MONDO_0007326	http://purl.obolibrary.org/obo/MONDO_0700089	OK
http://purl.obolibrary.org/obo/MONDO_0007348		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0007494	http://purl.obolibrary.org/obo/MONDO_0100352	OK
http://purl.obolibrary.org/obo/MONDO_0007591		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0007607		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0007761		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0007779		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0007780	http://purl.obolibrary.org/obo/MONDO_0800025	OK
http://purl.obolibrary.org/obo/MONDO_0007798	http://purl.obolibrary.org/obo/MONDO_1010154	OK
http://purl.obolibrary.org/obo/MONDO_0007806	http://purl.obolibrary.org/obo/MONDO_0100522	OK
http://purl.obolibrary.org/obo/MONDO_0007828	http://purl.obolibrary.org/obo/MONDO_0958106	OK
http://purl.obolibrary.org/obo/MONDO_0007903	http://purl.obolibrary.org/obo/MONDO_0018875	OK
http://purl.obolibrary.org/obo/MONDO_0007954	http://purl.obolibrary.org/obo/MONDO_0015912	OK
http://purl.obolibrary.org/obo/MONDO_0007960	http://purl.obolibrary.org/obo/MONDO_0100354	OK
http://purl.obolibrary.org/obo/MONDO_0008032	http://purl.obolibrary.org/obo/MONDO_0012215	OK
http://purl.obolibrary.org/obo/MONDO_0008112	http://purl.obolibrary.org/obo/MONDO_0015397	OK
http://purl.obolibrary.org/obo/MONDO_0008120	http://purl.obolibrary.org/obo/MONDO_0016163	OK
http://purl.obolibrary.org/obo/MONDO_0008347		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0008406		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0008448	http://purl.obolibrary.org/obo/MONDO_0012215	OK
http://purl.obolibrary.org/obo/MONDO_0008597		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0008646	http://purl.obolibrary.org/obo/MONDO_0100316	OK
http://purl.obolibrary.org/obo/MONDO_0008664	http://purl.obolibrary.org/obo/MONDO_0006928	OK
http://purl.obolibrary.org/obo/MONDO_0008852	http://purl.obolibrary.org/obo/MONDO_0800026	OK
http://purl.obolibrary.org/obo/MONDO_0008940	http://purl.obolibrary.org/obo/MONDO_0013722	OK
http://purl.obolibrary.org/obo/MONDO_0008952	http://purl.obolibrary.org/obo/MONDO_0031329	OK
http://purl.obolibrary.org/obo/MONDO_0008996		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0009011	http://purl.obolibrary.org/obo/MONDO_0015167	OK
http://purl.obolibrary.org/obo/MONDO_0009068	http://purl.obolibrary.org/obo/MONDO_0033885	OK
http://purl.obolibrary.org/obo/MONDO_0009096	http://purl.obolibrary.org/obo/MONDO_0800027	OK
http://purl.obolibrary.org/obo/MONDO_0009316	http://purl.obolibrary.org/obo/MONDO_0022316	OK
http://purl.obolibrary.org/obo/MONDO_0009325	http://purl.obolibrary.org/obo/MONDO_0100229	OK
http://purl.obolibrary.org/obo/MONDO_0009410	http://purl.obolibrary.org/obo/MONDO_0015129	OK
http://purl.obolibrary.org/obo/MONDO_0009427	http://purl.obolibrary.org/obo/MONDO_1010169	OK
http://purl.obolibrary.org/obo/MONDO_0009428	http://purl.obolibrary.org/obo/MONDO_1010168	OK
http://purl.obolibrary.org/obo/MONDO_0009641	http://purl.obolibrary.org/obo/MONDO_0100294	OK
http://purl.obolibrary.org/obo/MONDO_0009700	http://purl.obolibrary.org/obo/MONDO_0031415	OK
http://purl.obolibrary.org/obo/MONDO_0009739	http://purl.obolibrary.org/obo/MONDO_0024457	OK
http://purl.obolibrary.org/obo/MONDO_0009930		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0009977	http://purl.obolibrary.org/obo/MONDO_0800166	OK
http://purl.obolibrary.org/obo/MONDO_0009989	http://purl.obolibrary.org/obo/MONDO_0100288	OK
http://purl.obolibrary.org/obo/MONDO_0009997	http://purl.obolibrary.org/obo/MONDO_0100253	OK
http://purl.obolibrary.org/obo/MONDO_0010061	http://purl.obolibrary.org/obo/MONDO_0013931	OK
http://purl.obolibrary.org/obo/MONDO_0010086		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0010119	http://purl.obolibrary.org/obo/MONDO_0031332	OK
http://purl.obolibrary.org/obo/MONDO_0010123		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0010143	http://purl.obolibrary.org/obo/MONDO_0800042	OK
http://purl.obolibrary.org/obo/MONDO_0010204	http://purl.obolibrary.org/obo/MONDO_0800449	OK
http://purl.obolibrary.org/obo/MONDO_0010303	http://purl.obolibrary.org/obo/MONDO_0000170	OK
http://purl.obolibrary.org/obo/MONDO_0010372	http://purl.obolibrary.org/obo/MONDO_0030914	OK
http://purl.obolibrary.org/obo/MONDO_0010387	http://purl.obolibrary.org/obo/MONDO_0010386	OK
http://purl.obolibrary.org/obo/MONDO_0010766	http://purl.obolibrary.org/obo/MONDO_0100250	OK
http://purl.obolibrary.org/obo/MONDO_0010994		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0011108	http://purl.obolibrary.org/obo/MONDO_0800043	OK
http://purl.obolibrary.org/obo/MONDO_0011127	http://purl.obolibrary.org/obo/MONDO_0100344	OK
http://purl.obolibrary.org/obo/MONDO_0011380	http://purl.obolibrary.org/obo/MONDO_0800448	OK
http://purl.obolibrary.org/obo/MONDO_0011469		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0011499	http://purl.obolibrary.org/obo/MONDO_0014700	OK
http://purl.obolibrary.org/obo/MONDO_0011707	http://purl.obolibrary.org/obo/MONDO_0800028	OK
http://purl.obolibrary.org/obo/MONDO_0011876		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0011905	http://purl.obolibrary.org/obo/MONDO_0031446	OK
http://purl.obolibrary.org/obo/MONDO_0012017	http://purl.obolibrary.org/obo/MONDO_0020783	OK
http://purl.obolibrary.org/obo/MONDO_0012332	http://purl.obolibrary.org/obo/MONDO_0800046	OK
http://purl.obolibrary.org/obo/MONDO_0013346	http://purl.obolibrary.org/obo/MONDO_0100215	OK
http://purl.obolibrary.org/obo/MONDO_0013524		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0013586		NO_REPLACEMENT
http://purl.obolibrary.org/obo/MONDO_0013676	http://purl.obolibrary.org/obo/MONDO_0100255	OK
http://purl.obolibrary.org/obo/MONDO_0013733		NO_REPLACEMENT
