?cls	?replCls	?consCls
<http://purl.obolibrary.org/obo/GO_0006306>	"http://www.ebi.ac.uk/efo/EFO_0022599"	"GO:0009008"
<http://purl.obolibrary.org/obo/GO_0006306>	"http://www.ebi.ac.uk/efo/EFO_0022599"	"GO:0009307"
<http://purl.obolibrary.org/obo/GO_0006306>	"http://www.ebi.ac.uk/efo/EFO_0022599"	"GO:0031507"
<http://purl.obolibrary.org/obo/GO_0007568>		
<http://purl.obolibrary.org/obo/GO_1901555>	"GO:0009410"	
<http://purl.obolibrary.org/obo/MONDO_0041161>		"HP:0040298"
<http://www.ebi.ac.uk/efo/EFO_0000289>	"http://purl.obolibrary.org/obo/MONDO_0004985"	
<http://www.ebi.ac.uk/efo/EFO_0000311>	"http://purl.obolibrary.org/obo/MONDO_0004992"	
<http://www.ebi.ac.uk/efo/EFO_0000516>	"http://purl.obolibrary.org/obo/MONDO_0005041"	
<http://www.ebi.ac.uk/efo/EFO_0002517>	"http://purl.obolibrary.org/obo/MONDO_0005184"	
<http://www.ebi.ac.uk/efo/EFO_0002690>	"http://purl.obolibrary.org/obo/MONDO_0007915"	
<http://www.ebi.ac.uk/efo/EFO_0003761>	"http://purl.obolibrary.org/obo/MONDO_0002009"	
<http://www.ebi.ac.uk/efo/EFO_0003784>	"http://purl.obolibrary.org/obo/HP_0001000"	
<http://www.ebi.ac.uk/efo/EFO_0003922>	"http://purl.obolibrary.org/obo/GO_0042697"	
<http://www.ebi.ac.uk/efo/EFO_0003923>	"http://purl.obolibrary.org/obo/OBA_1000110"	
<http://www.ebi.ac.uk/efo/EFO_0004215>	"http://purl.obolibrary.org/obo/MONDO_0005351"	
<http://www.ebi.ac.uk/efo/EFO_0004300>	"http://purl.obolibrary.org/obo/OBA_VT0005372"	
<http://www.ebi.ac.uk/efo/EFO_0004301>	"http://purl.obolibrary.org/obo/OBA_VT3000004"	
<http://www.ebi.ac.uk/efo/EFO_0004304>	"http://purl.obolibrary.org/obo/OBA_2045235"	
<http://www.ebi.ac.uk/efo/EFO_0004308>	"http://purl.obolibrary.org/obo/OBA_VT0000217"	
<http://www.ebi.ac.uk/efo/EFO_0004310>	"http://purl.obolibrary.org/obo/OBA_VT0002551"	
<http://www.ebi.ac.uk/efo/EFO_0004311>	"http://purl.obolibrary.org/obo/OBA_2045275"	
<http://www.ebi.ac.uk/efo/EFO_0004325>	"http://purl.obolibrary.org/obo/OBA_VT0000183"	
<http://www.ebi.ac.uk/efo/EFO_0004326>	"http://purl.obolibrary.org/obo/OBA_1001087"	
<http://www.ebi.ac.uk/efo/EFO_0004339>	"http://purl.obolibrary.org/obo/OBA_VT0001253"	
<http://www.ebi.ac.uk/efo/EFO_0004342>	"http://purl.obolibrary.org/obo/OBA_1001085"	
<http://www.ebi.ac.uk/efo/EFO_0004351>	"http://purl.obolibrary.org/obo/OBA_1001087"	
<http://www.ebi.ac.uk/efo/EFO_0004354>	"http://purl.obolibrary.org/obo/GO_0007623"	
<http://www.ebi.ac.uk/efo/EFO_0004463>	"http://purl.obolibrary.org/obo/OBA_2045290"	
<http://www.ebi.ac.uk/efo/EFO_0004464>	"http://purl.obolibrary.org/obo/OBA_2045210"	
<http://www.ebi.ac.uk/efo/EFO_0004465>	"http://purl.obolibrary.org/obo/OBA_VT0000188"	
<http://www.ebi.ac.uk/efo/EFO_0004466>	"http://purl.obolibrary.org/obo/OBA_VT0001560"	
<http://www.ebi.ac.uk/efo/EFO_0004504>	"http://purl.obolibrary.org/obo/OBA_2050089"	
