Obsoleted EFO Term,EFO Label,Replacement Mondo Term,Mondo Label
EFO_1000838,"bile reflux",MONDO_0006677,"bile reflux"
EFO_1000839,"bladder calculus",MONDO_0006678,"bladder calculus"
EFO_1000018,"bladder disease",MONDO_0006026,"bladder disease"
EFO_0000203,"monoclonal gammopathy",MONDO_0004960,"monoclonal gammopathy"
EFO_1000837,"beriberi",MONDO_0006676,"beriberi"
EFO_1001067,"nutritional deficiency disease",MONDO_0006873,"nutritional deficiency disease"
EFO_1000478,"Pituitary Gland Adenoma",MONDO_0006373,"pituitary gland adenoma"
EFO_0000588,"mesothelioma",MONDO_0005065,"mesothelioma"
EFO_1000832,"Bacteroides infectious disease",MONDO_0006671,"Bacteroides infectious disease"
EFO_1000833,"balanitis",MONDO_0006672,"balanitis"
EFO_0000512,"reproductive system disease",MONDO_0005039,"reproductive system disease"
EFO_1000841,"blue nevus",MONDO_0006680,"blue nevus"
EFO_1000842,"Borrelia infectious disease",MONDO_0006681,"Borrelia infectious disease"
EFO_1000840,"bladder neck obstruction",MONDO_0006679,"bladder neck obstruction"
EFO_1000847,"brain stem infarction",MONDO_0006686,"brain stem infarction"
EFO_0004277,"brain infarction",MONDO_0005394,"brain infarction"
EFO_1000845,"brain edema",MONDO_0006684,"brain edema"
EFO_0005774,"brain disease",MONDO_0005560,"brain disease"
EFO_1000843,"brachial plexus neuritis",MONDO_0006682,"brachial plexus neuritis"
EFO_1000844,"brachial plexus neuropathy",MONDO_0006683,"brachial plexus neuropathy"
EFO_0000618,"nervous system disease",MONDO_0005071,"nervous system disease"
EFO_1000853,"carotid artery thrombosis",MONDO_0006690,"carotid artery thrombosis"
EFO_0003781,"carotid artery disease",MONDO_0005269,"carotid artery disease"
EFO_1000850,"burning mouth syndrome",MONDO_0006687,"burning mouth syndrome"
EFO_1000851,"byssinosis",MONDO_0006688,"byssinosis"
EFO_1000859,"cerebral arterial disease",MONDO_0006693,"cerebral arterial disease"
EFO_0003763,"cerebrovascular disorder",MONDO_0011057,"cerebrovascular disorder"
EFO_1000857,"central pontine myelinolysis",MONDO_0006692,"central pontine myelinolysis"
EFO_1000863,"Chlamydophila infectious disease",MONDO_0021697,"chlamydia infectious disease"
EFO_1000864,"cholecystolithiasis",MONDO_0006698,"cholecystolithiasis"
EFO_0003832,"gallbladder disease",MONDO_0005281,"gallbladder disease"
EFO_1000862,"cervix erosion",MONDO_0006696,"cervix erosion"
EFO_0000691,"sarcoma",MONDO_0005089,"sarcoma"
EFO_1000860,"cerebral atherosclerosis",MONDO_0006694,"cerebral atherosclerosis"
EFO_0003914,"atherosclerosis",MONDO_0005311,"atherosclerosis"
EFO_1000023,"chronic cystitis",MONDO_0006030,"chronic cystitis"
EFO_1000867,"chromophobe adenoma",MONDO_0006701,"chromophobe adenoma"
EFO_0000232,"adenoma",MONDO_0004972,"adenoma"
EFO_1000868,"chronic inflammatory demyelinating polyradiculoneuropathy",MONDO_0006702,"chronic inflammatory demyelinating polyradiculoneuropathy"
EFO_0005772,"neurodegenerative disease",MONDO_0005559,"neurodegenerative disease"
EFO_1000865,"choledocholithiasis",MONDO_0006699,"choledocholithiasis"
EFO_0001421,"liver disease",MONDO_0005154,"liver disease"
EFO_1000866,"choroid cancer",MONDO_0006700,"choroid cancer"
EFO_1000874,"commensal Clostridium infectious disease",MONDO_0024388,"Clostridium infectious disease"
EFO_1000875,"commensal Desulfovibrionaceae infectious disease",MONDO_0006708,"commensal Desulfovibrionaceae infectious disease"
EFO_1000870,"CNS demyelinating autoimmune disease",MONDO_0006704,"CNS demyelinating autoimmune disease"
EFO_1000879,"corneal edema",MONDO_0006712,"corneal edema"
EFO_0003966,"eye disease",MONDO_0005328,"eye disease"
EFO_1000876,"common bile duct neoplasm",MONDO_0006709,"common bile duct neoplasm"
EFO_1000877,"complex partial epilepsy",MONDO_0006710,"complex partial epilepsy"
EFO_0004263,"partial epilepsy",MONDO_0005384,"partial epilepsy"
EFO_1000885,"cutaneous fibrous histiocytoma",MONDO_0006717,"cutaneous fibrous histiocytoma"
EFO_0005561,"histiocytoma",MONDO_0005509,"histiocytoma"
EFO_0003900,"ciliopathy",MONDO_0005308,"ciliopathy"
EFO_1000883,"coronary thrombosis",MONDO_0006716,"coronary thrombosis"
EFO_0001645,"coronary artery disease",MONDO_0005010,"coronary artery disease"
EFO_1000881,"coronary aneurysm",MONDO_0006714,"coronary aneurysm"
EFO_0000319,"cardiovascular disease",MONDO_0004995,"cardiovascular disease"
EFO_1000880,"corneal neovascularization",MONDO_0006713,"corneal neovascularization"
EFO_1000889,"cystic, mucinous, and serous neoplasm",MONDO_0006720,"cystic, mucinous, and serous neoplasm"
EFO_1000887,"cutaneous syphilis",MONDO_0006718,"cutaneous syphilis"
EFO_0000701,"skin disease",MONDO_0005093,"skin disease"
EFO_0007504,"syphilis",MONDO_0005976,"syphilis"
EFO_1000888,"cystic lymphangioma",MONDO_0009761,"cystic hygroma"
EFO_0003875,"peripheral vascular disease",MONDO_0005294,"peripheral vascular disease"
EFO_1000897,"diabetic ketoacidosis",MONDO_0012819,"diabetic ketoacidosis"
EFO_1000895,"desmoplastic small round cell tumor",MONDO_0019373,"desmoplastic small round cell tumor"
EFO_1000892,"dental fluorosis",MONDO_0006722,"dental fluorosis"
EFO_1001216,"tooth disease",MONDO_0006999,"tooth disease"
EFO_1000893,"denture stomatitis",MONDO_0006723,"denture stomatitis"
EFO_1000890,"Dandy-Walker syndrome",MONDO_0009072,"Dandy-Walker syndrome"
EFO_1000891,"De Quervain disease",MONDO_0006721,"de Quervain disease"
EFO_0004260,"bone disease",MONDO_0005381,"bone disease"
EFO_1000899,"diastolic heart failure",MONDO_0006727,"diastolic heart failure"
EFO_0000373,"congestive heart failure",MONDO_0005009,"congestive heart failure"
EFO_0000305,"breast carcinoma",MONDO_0004989,"breast carcinoma"
EFO_0004288,"colonic neoplasm",MONDO_0005401,"colonic neoplasm"
EFO_1000805,"angioid streaks",MONDO_0011782,"angioid streaks"
EFO_1000803,"alcoholic neuropathy",MONDO_0006645,"alcoholic neuropathy"
EFO_1000801,"alcoholic cardiomyopathy",MONDO_0006643,"alcoholic cardiomyopathy"
EFO_0000318,"cardiomyopathy",MONDO_0004994,"cardiomyopathy"
EFO_1000802,"alcoholic liver cirrhosis",MONDO_0006644,"alcoholic liver cirrhosis"
EFO_0001422,"cirrhosis of liver",MONDO_0005155,"cirrhosis of liver"
EFO_1000800,"alcohol withdrawal delirium",MONDO_0006642,"alcohol withdrawal delirium"
EFO_1000809,"anterior ischemic optic neuropathy",MONDO_0006649,"anterior ischemic optic neuropathy"
EFO_1000807,"anterior cerebral artery infarction",MONDO_0006647,"anterior cerebral artery infarction"
EFO_1000808,"anterior compartment syndrome",MONDO_0006648,"anterior compartment syndrome"
EFO_1000816,"aortitis",MONDO_0006656,"aortitis"
EFO_0005775,"aortic disease",MONDO_0005561,"aortic disease"
EFO_1000814,"anthracosis",MONDO_0006654,"anthracosis"
EFO_1000815,"aortic valve prolapse",MONDO_0006655,"aortic valve prolapse"
EFO_0003777,"heart disease",MONDO_0005267,"heart disease"
EFO_1000812,"anterolateral myocardial infarction",MONDO_0006652,"anterolateral myocardial infarction"
EFO_1000813,"anthracosilicosis",MONDO_0006653,"anthracosilicosis"
EFO_1000810,"anterior spinal artery syndrome",MONDO_0006650,"anterior spinal artery syndrome"
EFO_1000818,"arcus senilis",MONDO_0007150,"arcus senilis"
EFO_1000819,"arteriolosclerosis",MONDO_0006658,"arteriolosclerosis"
EFO_1000820,"arteriosclerosis obliterans",MONDO_0006659,"arteriosclerosis obliterans"
EFO_1000827,"atrophy of thyroid",MONDO_0006666,"atrophy of thyroid"
EFO_1000828,"B- and T-cell mixed leukemia",MONDO_0020322,"b- and T-cell mixed leukemia"
EFO_1000825,"atrial heart septal defect",MONDO_0006664,"atrial heart septal defect"
EFO_1000823,"aseptic meningitis",MONDO_0006662,"aseptic meningitis"
EFO_0000584,"infectious meningitis",MONDO_0004796,"infectious meningitis"
EFO_1000824,"asphyxia neonatorum",MONDO_0006663,"asphyxia neonatorum"
EFO_0000684,"respiratory system disease",MONDO_0005087,"respiratory system disease"
EFO_1000821,"arthus reaction",MONDO_0006660,"arthus reaction"
