?cls	?replCls	?consCls
<http://purl.obolibrary.org/obo/BTO_0000007>	"http://www.ebi.ac.uk/efo/EFO_0001182"	
<http://purl.obolibrary.org/obo/BTO_0000018>	"http://www.ebi.ac.uk/efo/EFO_0001086"	
<http://purl.obolibrary.org/obo/BTO_0000664>	"http://www.ebi.ac.uk/efo/EFO_0002067"	
<http://purl.obolibrary.org/obo/BTO_0001205>	"http://www.ebi.ac.uk/efo/EFO_0022778"	
<http://purl.obolibrary.org/obo/BTO_0001516>	"http://www.ebi.ac.uk/efo/EFO_0022749"	
<http://purl.obolibrary.org/obo/BTO_0001629>	"http://purl.obolibrary.org/obo/UBERON_0002084"	
<http://purl.obolibrary.org/obo/BTO_0001630>	"http://purl.obolibrary.org/obo/UBERON_0002080"	
<http://purl.obolibrary.org/obo/BTO_0001678>	"http://purl.obolibrary.org/obo/CL_0000545"	
<http://purl.obolibrary.org/obo/BTO_0001679>	"http://purl.obolibrary.org/obo/CL_0000546"	
<http://purl.obolibrary.org/obo/BTO_0002180>	"http://www.ebi.ac.uk/efo/EFO_0022376"	
<http://purl.obolibrary.org/obo/BTO_0003147>	"http://purl.obolibrary.org/obo/PO_0006339"	
<http://purl.obolibrary.org/obo/BTO_0003264>	"http://www.ebi.ac.uk/efo/EFO_0022835"	
<http://purl.obolibrary.org/obo/BTO_0005136>	"http://www.ebi.ac.uk/efo/EFO_0007075"	
<http://purl.obolibrary.org/obo/CHEBI_22584>	<http://purl.obolibrary.org/obo/CHEBI_2762>	
<http://purl.obolibrary.org/obo/CHEBI_2360>	<http://purl.obolibrary.org/obo/CHEBI_421707>	
<http://purl.obolibrary.org/obo/CHEBI_26158>	<http://purl.obolibrary.org/obo/CHEBI_37848>	
<http://purl.obolibrary.org/obo/CHEBI_2709>	<http://purl.obolibrary.org/obo/CHEBI_16422>	
<http://purl.obolibrary.org/obo/CHEBI_33097>	<http://purl.obolibrary.org/obo/CHEBI_35227>	
<http://purl.obolibrary.org/obo/CHEBI_4836>	<http://purl.obolibrary.org/obo/CHEBI_28792>	
<http://purl.obolibrary.org/obo/CHEBI_53439>		
<http://purl.obolibrary.org/obo/CHEBI_53461>		
<http://purl.obolibrary.org/obo/CHEBI_64208>	<http://purl.obolibrary.org/obo/CHEBI_90693>	
<http://purl.obolibrary.org/obo/CL_0000002>	<http://purl.obolibrary.org/obo/CLO_0000019>	
<http://purl.obolibrary.org/obo/CL_0000002>	"http://purl.obolibrary.org/obo/CLO_0000019"	
<http://purl.obolibrary.org/obo/CL_0000111>	<http://purl.obolibrary.org/obo/CL_2000032>	
<http://purl.obolibrary.org/obo/CL_0000250>	<http://purl.obolibrary.org/obo/PO_0020019>	
<http://purl.obolibrary.org/obo/CL_0000250>	"http://purl.obolibrary.org/obo/PO_0020019"	
<http://purl.obolibrary.org/obo/CL_0000252>	<http://purl.obolibrary.org/obo/PO_0020048>	
<http://purl.obolibrary.org/obo/CL_0000252>	"http://purl.obolibrary.org/obo/PO_0020048"	
<http://purl.obolibrary.org/obo/CL_0000292>	<http://purl.obolibrary.org/obo/PO_0000293>	
<http://purl.obolibrary.org/obo/CL_0000292>	"http://purl.obolibrary.org/obo/PO_0000293"	
<http://purl.obolibrary.org/obo/CL_0000337>	"http://purl.obolibrary.org/obo/CL_0000031"	
<http://purl.obolibrary.org/obo/CL_0000398>	<http://purl.obolibrary.org/obo/CL_0000385>	
<http://purl.obolibrary.org/obo/CL_0002371>	<http://purl.obolibrary.org/obo/CL_0000000>	
<http://purl.obolibrary.org/obo/FBbt_00005566>	<http://purl.obolibrary.org/obo/FBbt_00016016>	
<http://purl.obolibrary.org/obo/FBbt_00005670>		<http://purl.obolibrary.org/obo/FBbt_00002632>
<http://purl.obolibrary.org/obo/FBbt_00005670>		<http://purl.obolibrary.org/obo/FBbt_00002635>
<http://purl.obolibrary.org/obo/FBbt_00007049>	<http://purl.obolibrary.org/obo/FBbt_10005336>	
<http://purl.obolibrary.org/obo/GO_0000003>	"GO:0022414"	
<http://purl.obolibrary.org/obo/GO_0003867>		"GO:0034386"
<http://purl.obolibrary.org/obo/GO_0003867>		"GO:0034387"
<http://purl.obolibrary.org/obo/GO_0005355>	"GO:0055056"	
<http://purl.obolibrary.org/obo/GO_0005747>	"GO:0045271"	
<http://purl.obolibrary.org/obo/GO_0005750>	"GO:0045275"	
<http://purl.obolibrary.org/obo/GO_0005753>	"GO:0045259"	
<http://purl.obolibrary.org/obo/GO_0005844>		"GO:0005840"
<http://purl.obolibrary.org/obo/GO_0006306>	"http://www.ebi.ac.uk/efo/EFO_0022599"	"GO:0009008"
<http://purl.obolibrary.org/obo/GO_0006306>	"http://www.ebi.ac.uk/efo/EFO_0022599"	"GO:0009307"
<http://purl.obolibrary.org/obo/GO_0006306>	"http://www.ebi.ac.uk/efo/EFO_0022599"	"GO:0031507"
<http://purl.obolibrary.org/obo/GO_0006464>	<http://purl.obolibrary.org/obo/GO_0036211>	
<http://purl.obolibrary.org/obo/GO_0006725>	"GO:0008152"	
<http://purl.obolibrary.org/obo/GO_0006807>	"GO:0008152"	
<http://purl.obolibrary.org/obo/GO_0007568>		
<http://purl.obolibrary.org/obo/GO_0010259>		
<http://purl.obolibrary.org/obo/GO_0016023>	<http://purl.obolibrary.org/obo/GO_0031410>	
<http://purl.obolibrary.org/obo/GO_0016246>	<http://purl.obolibrary.org/obo/GO_0035194>	
<http://purl.obolibrary.org/obo/GO_0018130>	"GO:0009058"	
<http://purl.obolibrary.org/obo/GO_0018271>	"GO:0004077"	
<http://purl.obolibrary.org/obo/GO_0019438>	"GO:0009058"	
<http://purl.obolibrary.org/obo/GO_0023014>	<http://purl.obolibrary.org/obo/GO_0007165>	
<http://purl.obolibrary.org/obo/GO_0033577>	"GO:0006486"	
<http://purl.obolibrary.org/obo/GO_0034641>	"GO:0008152"	
<http://purl.obolibrary.org/obo/GO_0042493>	<http://purl.obolibrary.org/obo/GO_0009410>	
<http://purl.obolibrary.org/obo/GO_0044237>	"GO:0008152"	
<http://purl.obolibrary.org/obo/GO_0044249>	"GO:0009058"	
<http://purl.obolibrary.org/obo/GO_0044260>	"GO:0043170"	
<http://purl.obolibrary.org/obo/GO_0044267>	<http://purl.obolibrary.org/obo/GO_0019538>	
<http://purl.obolibrary.org/obo/GO_0044271>	"GO:0009058"	
<http://purl.obolibrary.org/obo/GO_0044421>		"GO:0005576"
<http://purl.obolibrary.org/obo/GO_0044422>		"GO:0043226"
<http://purl.obolibrary.org/obo/GO_0044424>		"GO:0005622"
<http://purl.obolibrary.org/obo/GO_0044425>		"GO:0016020"
<http://purl.obolibrary.org/obo/GO_0044428>		"GO:0005634"
<http://purl.obolibrary.org/obo/GO_0044429>		"GO:0005739"
<http://purl.obolibrary.org/obo/GO_0044430>		"GO:0005856"
<http://purl.obolibrary.org/obo/GO_0044433>		"GO:0031410"
<http://purl.obolibrary.org/obo/GO_0044434>		"GO:0009507"
<http://purl.obolibrary.org/obo/GO_0044435>		"GO:0009536"
<http://purl.obolibrary.org/obo/GO_0044444>		"GO:0005737"
<http://purl.obolibrary.org/obo/GO_0044446>		"GO:0043229"
<http://purl.obolibrary.org/obo/GO_0044456>		"GO:0045202"
<http://purl.obolibrary.org/obo/GO_0044462>		"GO:0030312"
<http://purl.obolibrary.org/obo/GO_0044464>		
<http://purl.obolibrary.org/obo/GO_0044699>	<http://purl.obolibrary.org/obo/GO_0008150>	
<http://purl.obolibrary.org/obo/GO_0044700>	<http://purl.obolibrary.org/obo/GO_0023052>	
<http://purl.obolibrary.org/obo/GO_0044707>	<http://purl.obolibrary.org/obo/GO_0032501>	
<http://purl.obolibrary.org/obo/GO_0044710>	<http://purl.obolibrary.org/obo/GO_0008152>	
<http://purl.obolibrary.org/obo/GO_0044763>	<http://purl.obolibrary.org/obo/GO_0009987>	
<http://purl.obolibrary.org/obo/GO_0044765>	<http://purl.obolibrary.org/obo/GO_0006810>	
<http://purl.obolibrary.org/obo/GO_0044767>	<http://purl.obolibrary.org/obo/GO_0032502>	
<http://purl.obolibrary.org/obo/GO_0046483>	"GO:0008152"	
<http://purl.obolibrary.org/obo/GO_0051181>		
<http://purl.obolibrary.org/obo/GO_0051186>		
<http://purl.obolibrary.org/obo/GO_0052047>		
<http://purl.obolibrary.org/obo/GO_0052048>		
<http://purl.obolibrary.org/obo/GO_0055069>		"GO:0006882"
<http://purl.obolibrary.org/obo/GO_0055069>		"GO:0180002"
<http://purl.obolibrary.org/obo/GO_0071704>		
<http://purl.obolibrary.org/obo/GO_1901360>		
<http://purl.obolibrary.org/obo/GO_1901362>		
<http://purl.obolibrary.org/obo/GO_1901555>	"GO:0009410"	
<http://purl.obolibrary.org/obo/GO_1901564>		
