?term	?term_label	?uniprot_id
<http://www.ebi.ac.uk/efo/EFO_0801964>	"protein shisa-3 homolog measurement"	"uniprot:A0PJX4"
<http://www.ebi.ac.uk/efo/EFO_0803229>	"uncharacterized protein C1orf226 measurement"	"uniprot:A1L170"
<http://www.ebi.ac.uk/efo/EFO_0802907>	"probable inactive serine protease 37 measurement"	"uniprot:A4D1T9"
<http://www.ebi.ac.uk/efo/EFO_0803302>	"PH and SEC7 domain-containing protein 1 measurement"	"uniprot:A5PKW4"
<http://www.ebi.ac.uk/efo/EFO_0802377>	"CCR4-NOT transcription complex subunit 1 measurement"	"uniprot:A5YKK6"
<http://www.ebi.ac.uk/efo/EFO_0803163>	"transcription factor TFIIIB component B'' homolog measurement"	"uniprot:A6H8Y1"
<http://www.ebi.ac.uk/efo/EFO_0801634>	"glutaredoxin-like protein C5orf63 measurement"	"uniprot:A6NC05"
<http://www.ebi.ac.uk/efo/EFO_0802702>	"leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2 measurement"	"uniprot:A6NDA9"
<http://www.ebi.ac.uk/efo/EFO_0803189>	"transmembrane protein 8B measurement"	"uniprot:A6NDV4"
<http://www.ebi.ac.uk/efo/EFO_0803078>	"single-pass membrane and coiled-coil domain-containing protein 2 measurement"	"uniprot:A6NFE2"
<http://www.ebi.ac.uk/efo/EFO_0802618>	"igLON family member 5 measurement"	"uniprot:A6NGN9"
<http://www.ebi.ac.uk/efo/EFO_0802075>	"small integral membrane protein 9 measurement"	"uniprot:A6NGZ8"
<http://www.ebi.ac.uk/efo/EFO_0801643>	"glycolipid transfer protein domain-containing protein 2 measurement"	"uniprot:A6NH11"
<http://www.ebi.ac.uk/efo/EFO_0801785>	"MANSC domain-containing protein 4 measurement"	"uniprot:A6NHS7"
<http://www.ebi.ac.uk/efo/EFO_0801766>	"leukocyte immunoglobulin-like receptor subfamily A member 5 measurement"	"uniprot:A6NI73"
<http://www.ebi.ac.uk/efo/EFO_0802699>	"leucine-rich repeat-containing protein 37A2 measurement"	"uniprot:A6NM11"
<http://www.ebi.ac.uk/efo/EFO_0801545>	"dorsal root ganglia homeobox protein measurement"	"uniprot:A6NNA5"
<http://www.ebi.ac.uk/efo/EFO_0802407>	"CMRF35-like molecule 7 measurement"	"uniprot:A8K4G0"
<http://www.ebi.ac.uk/efo/EFO_0802591>	"HEPACAM family member 2 measurement"	"uniprot:A8MVW5"
<http://www.ebi.ac.uk/efo/EFO_0802422>	"collagen alpha-5(VI) chain measurement"	"uniprot:A8TX70"
<http://www.ebi.ac.uk/efo/EFO_0801737>	"isthmin-1 measurement"	"uniprot:B1AKI9"
<http://www.ebi.ac.uk/efo/EFO_0803259>	"von Willebrand factor C domain-containing protein 2-like measurement"	"uniprot:B2RUY7"
<http://www.ebi.ac.uk/efo/EFO_0801565>	"endogenous retrovirus group V member 1 Env polyprotein measurement"	"uniprot:B6SEH8"
<http://www.ebi.ac.uk/efo/EFO_0020134>	"AH receptor-interacting protein measurement"	"uniprot:O00170"
<http://www.ebi.ac.uk/efo/EFO_0020197>	"C-C motif chemokine 24 measurement"	"uniprot:O00175"
<http://www.ebi.ac.uk/efo/EFO_0801385>	"AP-4 complex subunit mu-1 measurement"	"uniprot:O00189"
<http://www.ebi.ac.uk/efo/EFO_0802993>	"ras-related protein Rab-27B measurement"	"uniprot:O00194"
<http://www.ebi.ac.uk/efo/EFO_0802253>	"activator of apoptosis harakiri measurement"	"uniprot:O00198"
<http://www.ebi.ac.uk/efo/EFO_0021920>	"toll-like receptor 4 measurement"	"uniprot:O00206"
<http://www.ebi.ac.uk/efo/EFO_0803023>	"rho-related GTP-binding protein RhoD measurement"	"uniprot:O00212"
<http://www.ebi.ac.uk/efo/EFO_0020399>	"galectin-8 measurement"	"uniprot:O00214"
<http://www.ebi.ac.uk/efo/EFO_0802234>	"26S proteasome non-ATPase regulatory subunit 11 measurement"	"uniprot:O00231"
<http://www.ebi.ac.uk/efo/EFO_0008016>	"Agouti-related protein measurement"	"uniprot:O00253"
<http://www.ebi.ac.uk/efo/EFO_0802740>	"membrane-associated progesterone receptor component 1 measurement"	"uniprot:O00264"
<http://www.ebi.ac.uk/efo/EFO_0801999>	"regulatory factor X-associated protein measurement"	"uniprot:O00287"
<http://www.ebi.ac.uk/efo/EFO_0020555>	"matrilin-2 measurement"	"uniprot:O00339"
<http://www.ebi.ac.uk/efo/EFO_0802099>	"sulfhydryl oxidase 1 measurement"	"uniprot:O00391"
<http://www.ebi.ac.uk/efo/EFO_0802391>	"cGMP-dependent 3',5'-cyclic phosphodiesterase measurement"	"uniprot:O00408"
<http://www.ebi.ac.uk/efo/EFO_0801680>	"histone deacetylase complex subunit SAP18 measurement"	"uniprot:O00422"
<http://www.ebi.ac.uk/efo/EFO_0801881>	"phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha measurement"	"uniprot:O00443"
<http://www.ebi.ac.uk/efo/EFO_0803120>	"synaptotagmin-5 measurement"	"uniprot:O00445"
<http://www.ebi.ac.uk/efo/EFO_0008138>	"GDNF family receptor alpha-2 measurement"	"uniprot:O00451"
<http://www.ebi.ac.uk/efo/EFO_0802707>	"leukocyte-specific transcript 1 protein measurement"	"uniprot:O00453"
<http://www.ebi.ac.uk/efo/EFO_0801421>	"beta-mannosidase measurement"	"uniprot:O00462"
<http://www.ebi.ac.uk/efo/EFO_0802912>	"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 measurement"	"uniprot:O00469"
<http://www.ebi.ac.uk/efo/EFO_0803035>	"RNA polymerase II elongation factor ELL2 measurement"	"uniprot:O00472"
<http://www.ebi.ac.uk/efo/EFO_0802825>	"nuclear receptor subfamily 5 group A member 2 measurement"	"uniprot:O00482"
<http://www.ebi.ac.uk/efo/EFO_0802765>	"myc box-dependent-interacting protein 1 measurement"	"uniprot:O00499"
<http://www.ebi.ac.uk/efo/EFO_0802685>	"ladinin-1 measurement"	"uniprot:O00515"
<http://www.ebi.ac.uk/efo/EFO_0020633>	"pescadillo homolog measurement"	"uniprot:O00541"
<http://www.ebi.ac.uk/efo/EFO_0020316>	"delta-like protein 1 measurement"	"uniprot:O00548"
<http://www.ebi.ac.uk/efo/EFO_0008048>	"C-C motif chemokine 21 measurement"	"uniprot:O00585"
<http://www.ebi.ac.uk/efo/EFO_0802311>	"beta-1,3-N-acetylglucosaminyltransferase manic fringe measurement"	"uniprot:O00587"
<http://www.ebi.ac.uk/efo/EFO_0802874>	"podocalyxin measurement"	"uniprot:O00592"
<http://www.ebi.ac.uk/efo/EFO_0008134>	"ficolin-1 measurement"	"uniprot:O00602"
<http://www.ebi.ac.uk/efo/EFO_0801884>	"pirin measurement"	"uniprot:O00625"
<http://www.ebi.ac.uk/efo/EFO_0020196>	"C-C motif chemokine 22 measurement"	"uniprot:O00626"
<http://www.ebi.ac.uk/efo/EFO_0802623>	"importin subunit alpha-3 measurement"	"uniprot:O00629"
<http://www.ebi.ac.uk/efo/EFO_0020689>	"protein wnt-7a measurement"	"uniprot:O00755"
<http://www.ebi.ac.uk/efo/EFO_0802556>	"fructose-1,6-bisphosphatase isozyme 2 measurement"	"uniprot:O00757"
<http://www.ebi.ac.uk/efo/EFO_0802248>	"acetyl-CoA carboxylase 2 measurement"	"uniprot:O00763"
<http://www.ebi.ac.uk/efo/EFO_0021919>	"pyridoxal kinase measurement"	"uniprot:O00764"
<http://www.ebi.ac.uk/efo/EFO_0802900>	"pro-neuregulin-2, membrane-bound isoform measurement"	"uniprot:O14511"
<http://www.ebi.ac.uk/efo/EFO_0802440>	"cyclin-dependent kinase 2-associated protein 1 measurement"	"uniprot:O14519"
<http://www.ebi.ac.uk/efo/EFO_0802104>	"suppressor of cytokine signaling 3 measurement"	"uniprot:O14543"
<http://www.ebi.ac.uk/efo/EFO_0802588>	"guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2 measurement"	"uniprot:O14610"
<http://www.ebi.ac.uk/efo/EFO_0008057>	"C-X-C motif chemokine 11 measurement"	"uniprot:O14625"
<http://www.ebi.ac.uk/efo/EFO_0802044>	"segment polarity protein dishevelled homolog DVL-2 measurement"	"uniprot:O14641"
<http://www.ebi.ac.uk/efo/EFO_0802147>	"transmembrane gamma-carboxyglutamic acid protein 1 measurement"	"uniprot:O14668"
<http://www.ebi.ac.uk/efo/EFO_0802169>	"tumor protein p53-inducible protein 11 measurement"	"uniprot:O14683"
<http://www.ebi.ac.uk/efo/EFO_0801683>	"histone-lysine N-methyltransferase 2D measurement"	"uniprot:O14686"
<http://www.ebi.ac.uk/efo/EFO_0801390>	"apoptotic protease-activating factor 1 measurement"	"uniprot:O14727"
<http://www.ebi.ac.uk/efo/EFO_0801927>	"programmed cell death protein 5 measurement"	"uniprot:O14737"
<http://www.ebi.ac.uk/efo/EFO_0021965>	"serine/threonine-protein kinase Chk1 measurement"	"uniprot:O14757"
<http://www.ebi.ac.uk/efo/EFO_0021993>	"tumor necrosis factor receptor superfamily member 10B measurement"	"uniprot:O14763"
<http://www.ebi.ac.uk/efo/EFO_0801748>	"kinetochore protein NDC80 homolog measurement"	"uniprot:O14777"
<http://www.ebi.ac.uk/efo/EFO_0020603>	"neuropilin-1 measurement"	"uniprot:O14786"
<http://www.ebi.ac.uk/efo/EFO_0010617>	"tumor necrosis factor ligand superfamily member 11 measurement"@en	"uniprot:O14788"
<http://www.ebi.ac.uk/efo/EFO_0021854>	"apolipoprotein L1 measurement"	"uniprot:O14791"
<http://www.ebi.ac.uk/efo/EFO_0021960>	"growth/differentiation factor 8 measurement"	"uniprot:O14793"
<http://www.ebi.ac.uk/efo/EFO_0802141>	"transcription regulator protein BACH1 measurement"	"uniprot:O14867"
<http://www.ebi.ac.uk/efo/EFO_0801710>	"interferon-induced protein with tetratricopeptide repeats 3 measurement"	"uniprot:O14879"
<http://www.ebi.ac.uk/efo/EFO_0802649>	"interferon regulatory factor 6 measurement"	"uniprot:O14896"
<http://www.ebi.ac.uk/efo/EFO_0802120>	"tax1-binding protein 3 measurement"	"uniprot:O14907"
<http://www.ebi.ac.uk/efo/EFO_0020452>	"histone acetyltransferase type b catalytic subunit measurement"	"uniprot:O14929"
<http://www.ebi.ac.uk/efo/EFO_0802595>	"hepatocyte growth factor-regulated tyrosine kinase substrate measurement"	"uniprot:O14964"
<http://www.ebi.ac.uk/efo/EFO_0801673>	"heterogeneous nuclear ribonucleoprotein D-like measurement"	"uniprot:O14979"
<http://www.ebi.ac.uk/efo/EFO_0802014>	"rho guanine nucleotide exchange factor 10 measurement"	"uniprot:O15013"
<http://www.ebi.ac.uk/efo/EFO_0021867>	"plexin-B2 measurement"	"uniprot:O15031"
