?child	?label
<http://www.ebi.ac.uk/efo/EFO_0000635>	"organism part"
<http://www.ebi.ac.uk/efo/EFO_0000786>	"anatomy basic component"
<http://www.ebi.ac.uk/efo/EFO_0000788>	"fungal component"
<http://purl.obolibrary.org/obo/BTO_0001436>	"mycelium"
<http://purl.obolibrary.org/obo/BTO_0000515>	"haustorium"
<http://purl.obolibrary.org/obo/BTO_0000281>	"conidiophore"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"anatomical structure"
<http://www.ebi.ac.uk/efo/EFO_0003334>	"Drosophila component"
<http://www.ebi.ac.uk/efo/EFO_0003397>	"hypopharyngeal sense organ"
<http://www.ebi.ac.uk/efo/EFO_0003333>	"Drosophila developmental tissue"
<http://purl.obolibrary.org/obo/FBbt_00017011>	"primary segmental tracheal branch primordium"
<http://purl.obolibrary.org/obo/FBbt_00017003>	"visceral tracheal branch primordium"
<http://purl.obolibrary.org/obo/FBbt_00005534>	"gnathal primordium"
<http://purl.obolibrary.org/obo/FBbt_00005442>	"hypopharynx anlage"
<http://purl.obolibrary.org/obo/FBbt_00005548>	"head mesoderm anlage"
<http://purl.obolibrary.org/obo/FBbt_00000109>	"mesectoderm anlage"
<http://purl.obolibrary.org/obo/FBbt_00017020>	"oenocyte primordium"
<http://purl.obolibrary.org/obo/FBbt_00005466>	"pericardial cell primordium"
<http://purl.obolibrary.org/obo/UBERON_6000186>	"insect embryonic optic lobe primordium"
<http://purl.obolibrary.org/obo/FBbt_00015256>	"central brain anlage"
<http://purl.obolibrary.org/obo/UBERON_6005037>	"insect tracheal primordium"
<http://purl.obolibrary.org/obo/FBbt_00005834>	"ventral imaginal tissue"
<http://purl.obolibrary.org/obo/FBbt_00005535>	"foregut primordium"
<http://purl.obolibrary.org/obo/UBERON_6001780>	"insect ventral thoracic disc"
<http://purl.obolibrary.org/obo/FBbt_00004204>	"ventral ectoderm anlage"
<http://purl.obolibrary.org/obo/FBbt_00000447>	"posterior endoderm anlage"
<http://purl.obolibrary.org/obo/FBbt_00017000>	"amnioserosa primordium"
<http://purl.obolibrary.org/obo/FBbt_00004202>	"hindgut anlage"
<http://purl.obolibrary.org/obo/FBbt_00007049>	"head visceral muscle primordium"
<http://purl.obolibrary.org/obo/FBbt_00000127>	"head mesoderm"
<http://purl.obolibrary.org/obo/FBbt_00005523>	"inclusive hindgut primordium"
<http://purl.obolibrary.org/obo/FBbt_00005551>	"sensory nervous system primordium"
<http://purl.obolibrary.org/obo/FBbt_00005552>	"ventral sensory complex primordium"
<http://purl.obolibrary.org/obo/FBbt_00005546>	"labral sensory complex primordium"
<http://purl.obolibrary.org/obo/FBbt_00005545>	"labial sensory complex primordium"
<http://purl.obolibrary.org/obo/FBbt_00005544>	"maxillary sensory complex primordium"
<http://purl.obolibrary.org/obo/FBbt_00005431>	"foregut anlage"
<http://purl.obolibrary.org/obo/FBbt_00005550>	"proventriculus primordium"
<http://purl.obolibrary.org/obo/FBbt_00005519>	"trunk visceral muscle primordium"
<http://purl.obolibrary.org/obo/FBbt_00017008>	"longitudinal trunk visceral muscle primordium"
<http://purl.obolibrary.org/obo/FBbt_00000197>	"posterior spiracle primordium"
<http://purl.obolibrary.org/obo/UBERON_0001059>	"pars intercerebralis"
<http://purl.obolibrary.org/obo/UBERON_6001734>	"insect larval labral segment"
<http://purl.obolibrary.org/obo/FBbt_00017009>	"ring gland primordium"
<http://www.ebi.ac.uk/efo/EFO_0003335>	"Drosophila embryonic structure"
<http://purl.obolibrary.org/obo/UBERON_6001059>	"insect visual primordium"
<http://purl.obolibrary.org/obo/FBbt_00005505>	"large intestine primordium"
<http://purl.obolibrary.org/obo/FBbt_00001685>	"embryonic/larval plasmatocyte"
<http://purl.obolibrary.org/obo/FBbt_00005536>	"stomatogastric nervous system primordium"
<http://purl.obolibrary.org/obo/FBbt_00005618>	"embryonic maxillary sensory complex"
<http://purl.obolibrary.org/obo/FBbt_00005528>	"midline primordium"
<http://purl.obolibrary.org/obo/FBbt_00016000>	"hypopharynx anlage in statu nascendi"
<http://purl.obolibrary.org/obo/FBbt_00016001>	"posterior pharyngeal sense organ primordium"
<http://purl.obolibrary.org/obo/UBERON_6005533>	"insect ventral epidermis primordium"
<http://purl.obolibrary.org/obo/FBbt_00005506>	"rectum primordium"
<http://purl.obolibrary.org/obo/FBbt_00005512>	"salivary gland body primordium"
<http://purl.obolibrary.org/obo/FBbt_00005630>	"embryonic hindgut"
<http://purl.obolibrary.org/obo/FBbt_00005504>	"small intestine primordium"
<http://purl.obolibrary.org/obo/FBbt_00005518>	"somatic muscle primordium"
<http://purl.obolibrary.org/obo/FBbt_00005424>	"hindgut anlage in statu nascendi"
<http://purl.obolibrary.org/obo/FBbt_00005542>	"central brain primordium"
<http://purl.obolibrary.org/obo/FBbt_00005822>	"embryonic outer optic lobe primordium"
<http://purl.obolibrary.org/obo/FBbt_00000441>	"hindgut proper primordium"
<http://purl.obolibrary.org/obo/FBbt_00005511>	"pars intercerebralis primordium"
<http://purl.obolibrary.org/obo/FBbt_00005643>	"embryonic Malpighian tubule tip cell"
<http://purl.obolibrary.org/obo/FBbt_00001761>	"imaginal disc"
<http://purl.obolibrary.org/obo/FBbt_00001781>	"prothoracic leg disc"
<http://purl.obolibrary.org/obo/FBbt_00001768>	"eye disc"
<http://purl.obolibrary.org/obo/FBbt_00001766>	"eye-antennal disc"
<http://purl.obolibrary.org/obo/FBbt_00005067>	"fat body primordium"
<http://purl.obolibrary.org/obo/FBbt_00000442>	"Malpighian tubule primordium"
<http://www.ebi.ac.uk/efo/EFO_0003370>	"posterior midgut proper primordium"
<http://purl.obolibrary.org/obo/FBbt_00000461>	"embryonic inner optic lobe primordium"
<http://purl.obolibrary.org/obo/FBbt_00005565>	"embryonic ventral midline neuroblast"
<http://purl.obolibrary.org/obo/FBbt_00005501>	"Malpighian tubule main body primordium"
<http://purl.obolibrary.org/obo/FBbt_00005610>	"embryonic proventriculus outer layer"
<http://purl.obolibrary.org/obo/FBbt_00005673>	"lateral cord glial cell"
<http://purl.obolibrary.org/obo/FBbt_00005824>	"lateral cord surface glial cell"
<http://purl.obolibrary.org/obo/FBbt_00016016>	"larval midline neuron"
<http://purl.obolibrary.org/obo/FBbt_00005675>	"lateral cord neuron"
<http://purl.obolibrary.org/obo/UBERON_6001722>	"insect ring gland"
<http://purl.obolibrary.org/obo/FBbt_00005669>	"embryonic hypocerebral ganglion"
<http://purl.obolibrary.org/obo/FBbt_00005608>	"embryonic proventriculus inner layer"
<http://purl.obolibrary.org/obo/FBbt_00004784>	"capitellum"
<http://purl.obolibrary.org/obo/FBbt_00005749>	"embryonic ventral apodeme"
<http://purl.obolibrary.org/obo/FBbt_00005554>	"ventral nerve cord primordium"
<http://purl.obolibrary.org/obo/FBbt_00004891>	"pole plasm"
<http://purl.obolibrary.org/obo/FBbt_00005746>	"embryonic leading edge cell"
<http://purl.obolibrary.org/obo/FBbt_00017019>	"cibarium primordium"
<http://purl.obolibrary.org/obo/FBbt_00001069>	"embryonic stomatogastric nervous system"
<http://www.ebi.ac.uk/efo/EFO_0003410>	"embryonic midgut interstitial cell"
<http://purl.obolibrary.org/obo/FBbt_00005619>	"embryonic labial sensory complex"
<http://purl.obolibrary.org/obo/FBbt_00001724>	"prothoracic gland"
<http://purl.obolibrary.org/obo/FBbt_00005609>	"embryonic proventriculus intermediate layer"
<http://purl.obolibrary.org/obo/FBbt_00001315>	"midline glial cell"
<http://purl.obolibrary.org/obo/FBbt_00005571>	"embryonic tracheole"
<http://purl.obolibrary.org/obo/UBERON_0002472>	"stylopod"
<http://purl.obolibrary.org/obo/UBERON_0000376>	"hindlimb stylopod"
<http://purl.obolibrary.org/obo/UBERON_0002336>	"corpus callosum"
<http://purl.obolibrary.org/obo/UBERON_0002393>	"pharyngotympanic tube"
<http://purl.obolibrary.org/obo/BTO_0004687>	"orbit"
<http://purl.obolibrary.org/obo/UBERON_0002245>	"cerebellar hemisphere"
<http://purl.obolibrary.org/obo/UBERON_0008878>	"palmar part of manus"
<http://purl.obolibrary.org/obo/UBERON_0006483>	"Brodmann (1909) area 46"
<http://purl.obolibrary.org/obo/UBERON_0002691>	"ventral tegmental area"
<http://purl.obolibrary.org/obo/UBERON_0006595>	"presumptive endoderm"
<http://purl.obolibrary.org/obo/UBERON_0002005>	"enteric nervous system"
<http://purl.obolibrary.org/obo/UBERON_0003135>	"male reproductive organ"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"testis"
<http://purl.obolibrary.org/obo/UBERON_0000989>	"penis"
<http://purl.obolibrary.org/obo/UBERON_0002728>	"entorhinal cortex"
<http://purl.obolibrary.org/obo/UBERON_0000010>	"peripheral nervous system"
<http://purl.obolibrary.org/obo/UBERON_0003697>	"abdominal wall"
<http://purl.obolibrary.org/obo/UBERON_0000483>	"epithelium"
<http://purl.obolibrary.org/obo/UBERON_2000728>	"somite 2"
<http://purl.obolibrary.org/obo/UBERON_0006799>	"glandular epithelium"
<http://purl.obolibrary.org/obo/UBERON_0003071>	"eye primordium"
<http://purl.obolibrary.org/obo/UBERON_2000073>	"somite 5"
