?child	?label
<http://purl.obolibrary.org/obo/OBI_0000070>	"assay"@en
<http://purl.obolibrary.org/obo/OBI_0000070>	"assay"
<http://www.ebi.ac.uk/efo/EFO_0010175>	"EasySep cell separation"@en
<http://purl.obolibrary.org/obo/OBI_0001686>	"in-situ hybridization assay"
<http://www.ebi.ac.uk/efo/EFO_0030000>	"STARmap"
<http://www.ebi.ac.uk/efo/EFO_0011016>	"immunoFISH"
<http://www.ebi.ac.uk/efo/EFO_0010937>	"comparative genomic hybridization (CGH)"
<http://www.ebi.ac.uk/efo/EFO_0009918>	"smFISH"
<http://www.ebi.ac.uk/efo/EFO_0010965>	"RNAscope"
<http://www.ebi.ac.uk/efo/EFO_0008993>	"Ex-FISH"
<http://www.ebi.ac.uk/efo/EFO_0008992>	"MERFISH"
<http://www.ebi.ac.uk/efo/EFO_0008991>	"seqFISH"
<http://www.ebi.ac.uk/efo/EFO_0002909>	"microscopy assay"
<http://purl.obolibrary.org/obo/OBI_0600002>	"tumor grading"
<http://www.ebi.ac.uk/efo/EFO_0007060>	"Weiss grade"
<http://www.ebi.ac.uk/efo/EFO_0005620>	"lung adenocarcinoma grade"
<http://purl.obolibrary.org/obo/OBI_0001700>	"immunoprecipitation assay"
<http://www.ebi.ac.uk/efo/EFO_0005517>	"RIP-Chip by array"
<http://www.ebi.ac.uk/efo/EFO_0005033>	"RIP"
<http://www.ebi.ac.uk/efo/EFO_0005032>	"IP-seq"
<http://www.ebi.ac.uk/efo/EFO_0008684>	"Chia-PET"
<http://www.ebi.ac.uk/efo/EFO_0008889>	"Repli-Seq"
<http://www.ebi.ac.uk/efo/EFO_0009970>	"multi-stage Repli-seq"
<http://www.ebi.ac.uk/efo/EFO_0009969>	"2-stage Repli-seq"
<http://www.ebi.ac.uk/efo/EFO_0005302>	"ChIP-exo"
<http://www.ebi.ac.uk/efo/EFO_0009981>	"PLAC-seq"
<http://www.ebi.ac.uk/efo/EFO_0002692>	"ChIP-seq"
<http://www.ebi.ac.uk/efo/EFO_0022491>	"Paired-Tag"@en
<http://www.ebi.ac.uk/efo/EFO_0010008>	"irCLIP"
<http://www.ebi.ac.uk/efo/EFO_0008661>	"Bru-Seq"
<http://www.ebi.ac.uk/efo/EFO_0003143>	"CLIP-seq"
<http://www.ebi.ac.uk/efo/EFO_0005310>	"RIP-seq"
<http://www.ebi.ac.uk/efo/EFO_0009998>	"eCLIP"
