?child	?label
<http://purl.obolibrary.org/obo/GO_0005575>	"cellular_component"
<http://purl.obolibrary.org/obo/PR_000044756>	"platelet-derived growth factor complex BB dimer (human)"
<http://purl.obolibrary.org/obo/GO_0045259>	"proton-transporting ATP synthase complex"
<http://purl.obolibrary.org/obo/GO_0016020>	"membrane"
<http://purl.obolibrary.org/obo/GO_0045121>	"membrane raft"
<http://purl.obolibrary.org/obo/GO_0005901>	"caveola"
<http://purl.obolibrary.org/obo/GO_0031090>	"organelle membrane"
<http://purl.obolibrary.org/obo/GO_0042170>	"plastid membrane"
<http://purl.obolibrary.org/obo/GO_0031969>	"chloroplast membrane"
<http://purl.obolibrary.org/obo/GO_0012506>	"vesicle membrane"
<http://purl.obolibrary.org/obo/GO_0030659>	"cytoplasmic vesicle membrane"
<http://purl.obolibrary.org/obo/GO_0030667>	"secretory granule membrane"
<http://purl.obolibrary.org/obo/GO_0030662>	"coated vesicle membrane"
<http://purl.obolibrary.org/obo/GO_0012507>	"ER to Golgi transport vesicle membrane"
<http://purl.obolibrary.org/obo/GO_0030658>	"transport vesicle membrane"
<http://purl.obolibrary.org/obo/GO_0019867>	"outer membrane"
<http://purl.obolibrary.org/obo/GO_0009279>	"cell outer membrane"
<http://purl.obolibrary.org/obo/GO_0005886>	"plasma membrane"
<http://purl.obolibrary.org/obo/CL_0000000>	"cell"
<http://purl.obolibrary.org/obo/CL_0000988>	"hematopoietic cell"
<http://www.ebi.ac.uk/efo/EFO_0002661>	"dendritic cell-derived intermediate cell"
<http://purl.obolibrary.org/obo/CL_0000080>	"circulating cell"
<http://purl.obolibrary.org/obo/CL_0002246>	"peripheral blood stem cell"
<http://purl.obolibrary.org/obo/CL_0000421>	"coelomocyte"
<http://www.ebi.ac.uk/efo/EFO_0000572>	"lymphoblast"
<http://www.ebi.ac.uk/efo/EFO_0005293>	"B-lymphoblast"
<http://purl.obolibrary.org/obo/CL_0002031>	"hematopoietic lineage restricted progenitor cell"
<http://purl.obolibrary.org/obo/CL_0002010>	"pre-conventional dendritic cell"
<http://purl.obolibrary.org/obo/CL_0001019>	"CD115-positive monocyte OR common dendritic progenitor"
<http://purl.obolibrary.org/obo/CL_0001029>	"common dendritic progenitor"
<http://purl.obolibrary.org/obo/CL_0001022>	"CD115-positive monocyte"
<http://purl.obolibrary.org/obo/CL_0002398>	"Gr1-positive, CD43-positive monocyte"
<http://purl.obolibrary.org/obo/CL_0002058>	"Gr1-low non-classical monocyte"
<http://purl.obolibrary.org/obo/CL_0002473>	"MHC-II-high non-classical monocyte"
<http://purl.obolibrary.org/obo/CL_0002472>	"MHC-II-low non-classical monocyte"
<http://purl.obolibrary.org/obo/CL_0002471>	"MHC-II-negative non-classical monocyte"
