?child	?label
<http://www.ebi.ac.uk/efo/EFO_0000399>	"developmental stage"
<http://www.ebi.ac.uk/efo/EFO_0001355>	"infant"
<http://www.ebi.ac.uk/efo/EFO_0001372>	"neonate"
<http://purl.obolibrary.org/obo/UBERON_0000107>	"cleavage stage"
<http://www.ebi.ac.uk/efo/EFO_0001289>	"cleavage 8-cell"
<http://www.ebi.ac.uk/efo/EFO_0001288>	"cleavage 64-cell"
<http://www.ebi.ac.uk/efo/EFO_0001287>	"cleavage 4-cell"
<http://www.ebi.ac.uk/efo/EFO_0001286>	"cleavage 32-cell"
<http://www.ebi.ac.uk/efo/EFO_0001285>	"cleavage 2-cell"
<http://www.ebi.ac.uk/efo/EFO_0001284>	"cleavage 16-cell"
<http://www.ebi.ac.uk/efo/EFO_0001315>	"segmentation stage"
<http://www.ebi.ac.uk/efo/EFO_0001321>	"segmentation 26+ somites"
<http://www.ebi.ac.uk/efo/EFO_0001320>	"segmentation 20-25 somites"
<http://www.ebi.ac.uk/efo/EFO_0001319>	"segmentation 14-19 somites"
<http://www.ebi.ac.uk/efo/EFO_0001318>	"segmentation 10-13 somites"
<http://www.ebi.ac.uk/efo/EFO_0001317>	"segmentation 5-9 somites"
<http://www.ebi.ac.uk/efo/EFO_0001316>	"segmentation 1-4 somites"
<http://purl.obolibrary.org/obo/UBERON_0034919>	"juvenile stage"
<http://www.ebi.ac.uk/efo/EFO_0001272>	"adult"
<http://www.ebi.ac.uk/efo/EFO_0005498>	"newly molted young adult hermaphrodite"
<http://www.ebi.ac.uk/efo/EFO_0002721>	"postmenopausal"
<http://www.ebi.ac.uk/efo/EFO_0002543>	"mouse prenatal"
<http://www.ebi.ac.uk/efo/EFO_0004408>	"Theiler stage 18"
<http://www.ebi.ac.uk/efo/EFO_0002585>	"Theiler stage 22"
<http://www.ebi.ac.uk/efo/EFO_0004401>	"Theiler stage 9"
<http://www.ebi.ac.uk/efo/EFO_0004394>	"Theiler stage 2"
<http://www.ebi.ac.uk/efo/EFO_0004396>	"Theiler stage 4"
<http://www.ebi.ac.uk/efo/EFO_0004412>	"Theiler stage 25"
<http://www.ebi.ac.uk/efo/EFO_0002587>	"Theiler stage 26"
<http://www.ebi.ac.uk/efo/EFO_0004410>	"Theiler stage 20"
<http://www.ebi.ac.uk/efo/EFO_0004407>	"Theiler stage 16"
<http://www.ebi.ac.uk/efo/EFO_0002584>	"Theiler stage 21"
<http://www.ebi.ac.uk/efo/EFO_0004395>	"Theiler stage 3"
<http://www.ebi.ac.uk/efo/EFO_0004404>	"Theiler stage 13"
<http://www.ebi.ac.uk/efo/EFO_0004393>	"Theiler stage 1"
<http://www.ebi.ac.uk/efo/EFO_0004409>	"Theiler stage 19"
