?child	?label
<http://www.ebi.ac.uk/efo/EFO_0000408>	"disease"
<http://purl.obolibrary.org/obo/MONDO_0045024>	"cancer or benign tumor"
<http://purl.obolibrary.org/obo/MONDO_0023370>	"neoplastic disease or syndrome"
<http://www.ebi.ac.uk/efo/EFO_0000616>	"neoplasm"
<http://purl.obolibrary.org/obo/MONDO_0000611>	"pre-malignant neoplasm"
<http://www.ebi.ac.uk/efo/EFO_0002496>	"actinic keratosis"
<http://www.ebi.ac.uk/efo/EFO_1000406>	"Odontogenic Cyst"
<http://purl.obolibrary.org/obo/MONDO_0002334>	"hematopoietic and lymphoid system neoplasm"
<http://purl.obolibrary.org/obo/MONDO_0015757>	"lymphoid hemopathy"
<http://www.ebi.ac.uk/efo/EFO_0000574>	"lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0000996>	"prostate lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0004699>	"gastrointestinal lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0002114>	"pancreas lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0011260>	"pancreatic lymphoma, familial"
<http://www.ebi.ac.uk/efo/EFO_1000630>	"marginal zone B-cell lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0017599>	"splenic diffuse red pulp small B-cell lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0019465>	"nodal marginal zone B-cell lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000550>	"Splenic Marginal Zone Lymphoma"
<http://www.ebi.ac.uk/efo/EFO_0000191>	"MALT lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0044884>	"tonsillar lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000274>	"Gastric Mucosa-Associated Lymphoid Tissue Lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000146>	"Breast Mucosa-Associated Lymphoid Tissue Lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000591>	"Thyroid Gland Mucosa-Associated Lymphoid Tissue Lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000537>	"Small Intestinal Mucosa-Associated Lymphoid Tissue Lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0004474>	"gallbladder lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0001188>	"esophagus lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0004104>	"splenic manifestation of hairy cell leukemia"
<http://purl.obolibrary.org/obo/MONDO_0001059>	"gastric lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0042493>	"gastric non-hodgkin lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000272>	"Gastric Mantle Cell Lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0004695>	"liver lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000323>	"Liver Diffuse Large B-Cell Lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0001852>	"small intestine lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000535>	"Small Intestinal Enteropathy-Associated T-Cell Lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000533>	"Small Intestinal Burkitt Lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000534>	"Small Intestinal Diffuse Large B-Cell Lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0002966>	"splenic manifestation of prolymphocytic leukemia"
<http://www.ebi.ac.uk/efo/EFO_1000270>	"Gastric Diffuse Large B-Cell Lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0024656>	"colorectal lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0002035>	"colon lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000182>	"Colon Burkitt Lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0002034>	"cecum lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0001237>	"appendix lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000186>	"Colon Mucosa-Associated Lymphoid Tissue Lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000191>	"Colorectal Diffuse Large B-Cell Lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0002166>	"rectum lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0001888>	"anus lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0003987>	"lung lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0020644>	"lung non-Hodgkin lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000495>	"Primary Pulmonary Diffuse Large B-Cell Lymphoma"
<http://www.ebi.ac.uk/efo/EFO_0005952>	"non-Hodgkins lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0000873>	"lymphoblastic lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1001948>	"childhood T lymphoblastic lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0044917>	"T-lymphoblastic lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1000785>	"Sezary's disease"
<http://www.ebi.ac.uk/efo/EFO_1001365>	"Lymphoma, AIDS-Related"
<http://www.ebi.ac.uk/efo/EFO_1001938>	"B-cell non-Hodgkins lymphoma"
<http://purl.obolibrary.org/obo/MONDO_0017595>	"aggressive B-cell non-Hodgkin lymphoma"
<http://www.ebi.ac.uk/efo/EFO_0000309>	"Burkitts lymphoma"
<http://www.ebi.ac.uk/efo/EFO_1001954>	"Epstein-Barr virus-related Burkitts lymphoma"
<http://www.ebi.ac.uk/efo/EFO_0021516>	"central nervous system Burkitt lymphoma"@en
<http://www.ebi.ac.uk/efo/EFO_1000102>	"B-Cell Prolymphocytic Leukemia"
