?child	?label
<http://www.ebi.ac.uk/efo/EFO_0000651>	"phenotype"
<http://www.ebi.ac.uk/efo/EFO_0006918>	"female fertility"
<http://www.ebi.ac.uk/efo/EFO_0004743>	"facial morphology"
<http://purl.obolibrary.org/obo/HP_0009762>	"Facial wrinkling"
<http://www.ebi.ac.uk/efo/EFO_0004803>	"male fertility"
<http://www.ebi.ac.uk/efo/EFO_0002460>	"hypertrophy"
<http://www.ebi.ac.uk/efo/EFO_0002503>	"cardiac hypertrophy"
<http://www.ebi.ac.uk/efo/EFO_0003896>	"left ventricular hypertrophy"
<http://www.ebi.ac.uk/efo/EFO_0003917>	"premature birth"
<http://www.ebi.ac.uk/efo/EFO_0006917>	"spontaneous preterm birth"
<http://www.ebi.ac.uk/efo/EFO_0006988>	"endophenotype"
<http://www.ebi.ac.uk/efo/EFO_0005038>	"hair morphology"
<http://www.ebi.ac.uk/efo/EFO_0003924>	"hair color"
<http://www.ebi.ac.uk/efo/EFO_0007664>	"outer ear morphology trait"
<http://www.ebi.ac.uk/efo/EFO_0007665>	"ear protrusion"
<http://www.ebi.ac.uk/efo/EFO_0007672>	"crus helix expression"
<http://www.ebi.ac.uk/efo/EFO_0007669>	"antitragus size"
<http://www.ebi.ac.uk/efo/EFO_0007670>	"helix rolling"
<http://www.ebi.ac.uk/efo/EFO_0007667>	"lobe attachment"
<http://www.ebi.ac.uk/efo/EFO_0007674>	"Darwin's tubercule"
<http://www.ebi.ac.uk/efo/EFO_0007666>	"lobe size"
<http://www.ebi.ac.uk/efo/EFO_0007671>	"folding of antihelix"
<http://www.ebi.ac.uk/efo/EFO_0007668>	"tragus size"
<http://www.ebi.ac.uk/efo/EFO_0007673>	"superior crus of antihelix expression"
<http://www.ebi.ac.uk/efo/EFO_0010130>	"health study participation"
<http://www.ebi.ac.uk/efo/EFO_0008485>	"homosexuality"
<http://www.ebi.ac.uk/efo/EFO_0008486>	"male homosexuality"
<http://www.ebi.ac.uk/efo/EFO_0003765>	"sign or symptom"
<http://www.ebi.ac.uk/efo/EFO_0008513>	"morphologic finding"
<http://www.ebi.ac.uk/efo/EFO_0008527>	"steatosis"
<http://www.ebi.ac.uk/efo/EFO_0009637>	"pleural effusion"
<http://www.ebi.ac.uk/efo/EFO_0003952>	"fever of unknown origin"
<http://www.ebi.ac.uk/efo/EFO_0006320>	"antidepressant-induced side effect"
<http://www.ebi.ac.uk/efo/EFO_0006324>	"antidepressant-induced hearing impairment"
<http://www.ebi.ac.uk/efo/EFO_0006323>	"antidepressant-induced visual impairment"
<http://www.ebi.ac.uk/efo/EFO_0006322>	"antidepressant-induced sexual dysfunction"
<http://www.ebi.ac.uk/efo/EFO_0006321>	"antidepressant-induced dizziness"
<http://www.ebi.ac.uk/efo/EFO_0010677>	"cytological, histological or immunological finding"
<http://www.ebi.ac.uk/efo/EFO_0005673>	"chronic mucus hypersecretion"
<http://www.ebi.ac.uk/efo/EFO_0006928>	"motion sickness"
<http://www.ebi.ac.uk/efo/EFO_1001188>	"space motion sickness"
<http://www.ebi.ac.uk/efo/EFO_0009697>	"pathological complete response"
<http://www.ebi.ac.uk/efo/EFO_1001416>	"rheumatic fever nodule"
<http://www.ebi.ac.uk/efo/EFO_0006817>	"yang deficiency"
<http://www.ebi.ac.uk/efo/EFO_0005429>	"borderline personality disorder symptom"
<http://purl.obolibrary.org/obo/HP_0012378>	"Fatigue"
<http://www.ebi.ac.uk/efo/EFO_0009852>	"exhaustion"
<http://www.ebi.ac.uk/efo/EFO_0009847>	"dizziness"
<http://www.ebi.ac.uk/efo/EFO_0003901>	"dysuria"
<http://www.ebi.ac.uk/efo/EFO_0003843>	"pain"
<http://www.ebi.ac.uk/efo/EFO_1001412>	"renal colic"
<http://www.ebi.ac.uk/efo/EFO_0801084>	"cancer pain"@en
<http://purl.obolibrary.org/obo/HP_0030833>	"Neck pain"
<http://www.ebi.ac.uk/efo/EFO_0022862>	"chronic neck pain"@en
<http://purl.obolibrary.org/obo/HP_0030838>	"Hip pain"
<http://www.ebi.ac.uk/efo/EFO_0022863>	"chronic hip pain"@en
<http://www.ebi.ac.uk/efo/EFO_0010072>	"toothache"
<http://www.ebi.ac.uk/efo/EFO_0009625>	"facial pain"
<http://www.ebi.ac.uk/efo/EFO_0005762>	"neuropathic pain"
<http://purl.obolibrary.org/obo/HP_0030766>	"Ear pain"
<http://www.ebi.ac.uk/efo/EFO_1001370>	"metatarsalgia"
<http://www.ebi.ac.uk/efo/EFO_1001366>	"mastodynia"
<http://purl.obolibrary.org/obo/HP_0003418>	"Back pain"
<http://www.ebi.ac.uk/efo/EFO_0022861>	"chronic back pain"@en
<http://purl.obolibrary.org/obo/HP_0011868>	"Sciatica"
<http://purl.obolibrary.org/obo/HP_0003419>	"Low back pain"
<http://purl.obolibrary.org/obo/HP_0030834>	"Shoulder pain"
<http://www.ebi.ac.uk/efo/EFO_0022864>	"chronic shoulder pain"@en
<http://purl.obolibrary.org/obo/HP_0012532>	"Chronic pain"
