?cls	?xref
<http://purl.obolibrary.org/obo/UBERON_0007195>	"Wikipedia:Bone_marrow#Stroma"
<http://purl.obolibrary.org/obo/UBERON_0007195>	"FMA:21426"
<http://purl.obolibrary.org/obo/UBERON_0007195>	"CALOHA:TS-0085"
<http://purl.obolibrary.org/obo/PR_Q7Z4H4>	"UniProtKB:Q7Z4H4"
<http://www.ebi.ac.uk/efo/EFO_0009867>	"Wikipedia:Dysphoria"
<http://www.ebi.ac.uk/efo/EFO_0009867>	"OAE:0001946"
<http://www.ebi.ac.uk/efo/EFO_0009867>	"MedDRA:10013954"
<http://purl.obolibrary.org/obo/UBERON_0000210>	"Wikipedia:Parietal_bone"
<http://purl.obolibrary.org/obo/UBERON_0000210>	"SCTID:181794000"
<http://purl.obolibrary.org/obo/UBERON_0000210>	"VHOG:0001326"
<http://purl.obolibrary.org/obo/UBERON_0000210>	"FMA:9613"
<http://purl.obolibrary.org/obo/UBERON_0000210>	"UMLS:C0030558"
<http://purl.obolibrary.org/obo/UBERON_0000210>	"MESH:D010294"
<http://purl.obolibrary.org/obo/UBERON_0000210>	"GAID:229"
<http://purl.obolibrary.org/obo/UBERON_0000210>	"EMAPA:18715"
<http://purl.obolibrary.org/obo/UBERON_0000210>	"NCIT:C12766"
<http://purl.obolibrary.org/obo/UBERON_0000210>	"MA:0001469"
<http://purl.obolibrary.org/obo/UBERON_0000210>	"AAO:0000390"
<http://purl.obolibrary.org/obo/MONDO_0013338>	"MEDGEN:462247"
<http://purl.obolibrary.org/obo/MONDO_0013338>	"DOID:0110204"
<http://purl.obolibrary.org/obo/MONDO_0013338>	"GARD:0012454"
<http://purl.obolibrary.org/obo/MONDO_0013338>	"UMLS:C3150897"
<http://purl.obolibrary.org/obo/MONDO_0013338>	"OMIM:613641"
<http://purl.obolibrary.org/obo/MONDO_0013338>	"Orphanet:254334"
<http://purl.obolibrary.org/obo/OBA_2057437>	"PMID:39528825"
<http://purl.obolibrary.org/obo/OBA_2056582>	"PMID:39528825"
<http://purl.obolibrary.org/obo/NCBITaxon_43687>	"SNOMEDCT:433896002"
<http://www.orpha.net/ORDO/Orphanet_2571>	"OMIM:300076"
