ID	OBSOLETE	REPLACED BY	OBSOLETED IN VERSION	REASON FOR OBSOLETION
ID	AT owl:deprecated^^xsd:boolean	A IAO:0100001	A EFO2:obsoleted_in_version	A EFO2:reason_for_obsolescence
http://www.orpha.net/ORDO/Orphanet_326	true	http://purl.obolibrary.org/obo/MONDO_0009210	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0009210
http://www.orpha.net/ORDO/Orphanet_91416	true	http://purl.obolibrary.org/obo/MONDO_0019627	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0019627
http://www.orpha.net/ORDO/Orphanet_79651	true	http://purl.obolibrary.org/obo/MONDO_0019335	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0019335
http://www.orpha.net/ORDO/Orphanet_622	true	http://purl.obolibrary.org/obo/MONDO_0018964	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0018964
http://www.orpha.net/ORDO/Orphanet_295215	true	http://purl.obolibrary.org/obo/MONDO_0017553	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017553
http://www.orpha.net/ORDO/Orphanet_418	true	http://purl.obolibrary.org/obo/MONDO_0018479	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0018479
http://www.orpha.net/ORDO/Orphanet_3086	true	http://purl.obolibrary.org/obo/MONDO_0008662	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0008662
http://www.orpha.net/ORDO/Orphanet_220386	true	http://purl.obolibrary.org/obo/MONDO_0016355	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0016355
http://www.orpha.net/ORDO/Orphanet_284332	true	http://purl.obolibrary.org/obo/MONDO_0011950	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0011950
http://www.orpha.net/ORDO/Orphanet_228410	true	http://purl.obolibrary.org/obo/MONDO_0016460	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0016460
http://www.orpha.net/ORDO/Orphanet_3439	true	http://purl.obolibrary.org/obo/MONDO_0009121	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0009121
http://www.orpha.net/ORDO/Orphanet_93329	true	http://purl.obolibrary.org/obo/MONDO_0009779	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0009779
http://www.orpha.net/ORDO/Orphanet_325124	true	http://purl.obolibrary.org/obo/MONDO_0017967	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017967
http://www.orpha.net/ORDO/Orphanet_324321	true	http://purl.obolibrary.org/obo/MONDO_0013960	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0013960
http://www.orpha.net/ORDO/Orphanet_1802	true	http://purl.obolibrary.org/obo/MONDO_0009274	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0009274
http://www.orpha.net/ORDO/Orphanet_140957	true	http://purl.obolibrary.org/obo/MONDO_0015372	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0015372
http://www.orpha.net/ORDO/Orphanet_99797	true	http://purl.obolibrary.org/obo/MONDO_0008797	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0008797
http://www.orpha.net/ORDO/Orphanet_93921	true	http://purl.obolibrary.org/obo/MONDO_0008075	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0008075
http://www.orpha.net/ORDO/Orphanet_275761	true	http://purl.obolibrary.org/obo/MONDO_0010204	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0010204
http://www.orpha.net/ORDO/Orphanet_137908	true	http://purl.obolibrary.org/obo/MONDO_0012718	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0012718
http://www.orpha.net/ORDO/Orphanet_1826	true	http://purl.obolibrary.org/obo/MONDO_0015942	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0015942
http://www.orpha.net/ORDO/Orphanet_369999	true	http://purl.obolibrary.org/obo/MONDO_0018250	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0018250
http://www.orpha.net/ORDO/Orphanet_1309	true	http://purl.obolibrary.org/obo/MONDO_0015268	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0015268
http://www.orpha.net/ORDO/Orphanet_96071	true	http://purl.obolibrary.org/obo/MONDO_0019872	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0019872
http://www.orpha.net/ORDO/Orphanet_295193	true	http://purl.obolibrary.org/obo/MONDO_0017545	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017545
http://www.orpha.net/ORDO/Orphanet_97242	true	http://purl.obolibrary.org/obo/MONDO_0019950	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0019950
http://www.orpha.net/ORDO/Orphanet_269212	true	http://purl.obolibrary.org/obo/MONDO_0017110	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017110
http://www.orpha.net/ORDO/Orphanet_1822	true	http://purl.obolibrary.org/obo/MONDO_0007489	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0007489
http://www.orpha.net/ORDO/Orphanet_364577	true	http://purl.obolibrary.org/obo/MONDO_0012095	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0012095
http://www.orpha.net/ORDO/Orphanet_282	true	http://purl.obolibrary.org/obo/MONDO_0017276	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017276
http://www.orpha.net/ORDO/Orphanet_262986	true	http://purl.obolibrary.org/obo/MONDO_0016969	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0016969
http://www.orpha.net/ORDO/Orphanet_157713	true	http://purl.obolibrary.org/obo/MONDO_0015519	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0015519
http://www.orpha.net/ORDO/Orphanet_79149	true	http://purl.obolibrary.org/obo/MONDO_0009094	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0009094
http://www.orpha.net/ORDO/Orphanet_329813	true	http://purl.obolibrary.org/obo/MONDO_0018007	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0018007
http://www.orpha.net/ORDO/Orphanet_295020	true	http://purl.obolibrary.org/obo/MONDO_0017463	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017463
http://www.orpha.net/ORDO/Orphanet_2985	true	http://purl.obolibrary.org/obo/MONDO_0008694	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0008694
http://www.orpha.net/ORDO/Orphanet_1677	true	http://purl.obolibrary.org/obo/MONDO_0015666	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0015666
http://www.orpha.net/ORDO/Orphanet_208593	true	http://purl.obolibrary.org/obo/MONDO_0016165	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0016165
http://www.orpha.net/ORDO/Orphanet_288	true	http://purl.obolibrary.org/obo/MONDO_0017319	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017319
http://www.orpha.net/ORDO/Orphanet_316240	true	http://purl.obolibrary.org/obo/MONDO_0017847	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017847
http://www.orpha.net/ORDO/Orphanet_306577	true	http://purl.obolibrary.org/obo/MONDO_0017629	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017629
http://www.orpha.net/ORDO/Orphanet_384	true	http://purl.obolibrary.org/obo/MONDO_0008416	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0008416
http://www.orpha.net/ORDO/Orphanet_638	true	http://purl.obolibrary.org/obo/MONDO_0011035	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0011035
